iter	Logloss
0	0.5773689111
1	0.493805018
2	0.4334298973
3	0.3908182995
4	0.3595084136
5	0.3366844369
6	0.3198758022
7	0.3079899444
8	0.298742357
9	0.292008727
10	0.2868225667
11	0.2827425935
12	0.2798469298
13	0.27734009
14	0.2755026998
15	0.2740339936
16	0.2728598523
17	0.2716813464
18	0.2708925964
19	0.2701611411
20	0.2694786811
21	0.2689532411
22	0.2684892788
23	0.2680940756
24	0.2677663334
25	0.2674375334
26	0.2671878521
27	0.2669350329
28	0.2666836923
29	0.2664638498
30	0.2662429623
31	0.266036052
32	0.2658393346
33	0.2656775084
34	0.265528118
35	0.2653755351
36	0.2652170721
37	0.2650842838
38	0.2649323827
39	0.2647817171
40	0.2646683502
41	0.2645382572
42	0.2644210894
43	0.2642964349
44	0.2642020329
45	0.2640871437
46	0.2639562122
47	0.263842883
48	0.2637283232
49	0.2636277942
50	0.2635132344
51	0.2634244495
52	0.2633405969
53	0.2632502529
54	0.2631669143
55	0.2630710238
56	0.2630016167
57	0.2629062541
58	0.2628358823
59	0.2627498494
60	0.2626617016
61	0.2625873622
62	0.2624987797
63	0.2624410969
64	0.2623452302
65	0.2622724777
66	0.2621844629
67	0.2621243159
68	0.2620406687
69	0.2619661557
70	0.2618856058
71	0.2618117854
72	0.2617496576
73	0.261679137
74	0.2616115787
75	0.2615295581
76	0.2614699222
77	0.2613976599
78	0.2613381789
79	0.2612775953
80	0.2612097621
81	0.2611370632
82	0.2610538278
83	0.2609842163
84	0.2609110152
85	0.2608543744
86	0.2607766658
87	0.2607000438
88	0.2606373553
89	0.2605681149
90	0.260510718
91	0.260439062
92	0.2603635427
93	0.2602999074
94	0.260237209
95	0.2601809959
96	0.2601292854
97	0.2600577506
98	0.259988798
99	0.2599112005
100	0.2598481895
101	0.2597730452
102	0.2596972361
103	0.2596123365
104	0.259567557
105	0.2594853051
106	0.2594043295
107	0.259323072
108	0.2592574559
109	0.2591854943
110	0.259120684
111	0.259056487
112	0.2589758389
113	0.2589061122
114	0.2588530143
115	0.2587880125
116	0.2587080075
117	0.2586436339
118	0.2585720405
119	0.2585155724
120	0.258449199
121	0.2583795905
122	0.2583224029
123	0.2582610224
124	0.2581974198
125	0.2581289287
126	0.258074374
127	0.2580227866
128	0.2579684938
129	0.2578857061
130	0.2578139956
131	0.2577511274
132	0.2577094055
133	0.2576379263
134	0.2575612765
135	0.2574872934
136	0.2574159928
137	0.257344979
138	0.257289147
139	0.2572402321
140	0.2571899468
141	0.2571452625
142	0.2570857249
143	0.2570169738
144	0.2569318658
145	0.2568922061
146	0.2568439482
147	0.2567759166
148	0.2567206721
149	0.2566726683
150	0.2566146402
151	0.2565489059
152	0.2564879403
153	0.2564283163
154	0.2563793141
155	0.2563117697
156	0.2562264652
157	0.2561767594
158	0.2561381993
159	0.2560710728
160	0.2560042052
161	0.2559322119
