iter	Passed	Remaining
0	16	8379
1	35	8928
2	50	8427
3	67	8355
4	83	8298
5	98	8114
6	113	8006
7	128	7928
8	145	7930
9	160	7871
10	176	7851
11	191	7772
12	207	7776
13	223	7769
14	238	7712
15	255	7720
16	271	7720
17	287	7687
18	304	7696
19	321	7707
20	338	7719
21	356	7755
22	375	7786
23	393	7796
24	412	7846
25	431	7865
26	449	7875
27	468	7890
28	485	7890
29	503	7885
30	520	7873
31	538	7875
32	557	7885
33	575	7885
34	593	7888
35	612	7892
36	630	7891
37	649	7891
38	668	7905
39	685	7886
40	703	7874
41	720	7852
42	737	7839
43	753	7810
44	770	7793
45	787	7772
46	803	7749
47	821	7734
48	838	7715
49	855	7696
50	872	7678
51	889	7660
52	904	7628
53	922	7621
54	939	7598
55	957	7592
56	976	7586
57	993	7572
58	1009	7547
59	1029	7546
60	1046	7527
61	1062	7509
62	1080	7494
63	1098	7482
64	1113	7452
65	1130	7434
66	1147	7415
67	1166	7408
68	1181	7377
69	1197	7356
70	1214	7338
71	1231	7322
72	1247	7297
73	1263	7273
74	1281	7259
75	1296	7234
76	1313	7216
77	1332	7211
78	1349	7194
79	1368	7184
80	1385	7166
81	1403	7152
82	1420	7136
83	1437	7119
84	1454	7099
85	1471	7081
86	1488	7067
87	1506	7052
88	1521	7028
89	1541	7023
90	1558	7004
91	1575	6987
92	1591	6964
93	1613	6971
94	1633	6961
95	1651	6948
96	1665	6920
97	1681	6898
98	1698	6880
99	1714	6859
100	1730	6836
101	1747	6819
102	1767	6814
103	1786	6800
104	1803	6782
105	1819	6763
106	1835	6742
107	1852	6723
108	1870	6708
109	1889	6698
110	1907	6683
111	1924	6667
112	1943	6655
113	1959	6633
114	1975	6613
115	1993	6599
116	2009	6577
117	2025	6558
118	2044	6547
119	2062	6530
120	2078	6509
121	2094	6489
122	2110	6468
123	2126	6449
124	2143	6429
125	2160	6412
126	2177	6394
127	2194	6376
128	2210	6355
129	2226	6336
130	2244	6321
131	2263	6309
132	2280	6292
133	2298	6276
134	2314	6258
135	2331	6240
136	2349	6225
137	2366	6206
138	2383	6191
139	2402	6177
140	2418	6157
141	2436	6142
142	2452	6122
143	2469	6104
144	2486	6087
145	2503	6069
146	2519	6049
147	2535	6030
148	2551	6010
149	2568	5993
150	2584	5973
151	2601	5955
152	2620	5942
153	2636	5923
154	2657	5915
155	2676	5901
156	2693	5884
157	2710	5866
158	2726	5847
159	2741	5826
160	2757	5806
161	2774	5788
162	2789	5767
163	2806	5750
164	2823	5733
165	2841	5717
166	2859	5702
167	2879	5689
168	2898	5677
169	2917	5663
170	2934	5645
171	2950	5625
172	2967	5608
173	2985	5593
174	3003	5577
175	3020	5560
176	3037	5543
177	3054	5525
178	3070	5506
179	3086	5487
180	3102	5467
181	3120	5451
182	3138	5437
183	3157	5422
184	3175	5406
185	3193	5391
186	3210	5373
187	3225	5353
188	3243	5337
189	3259	5318
190	3275	5299
191	3293	5282
192	3308	5263
193	3324	5243
194	3343	5229
195	3359	5210
196	3380	5199
197	3397	5181
198	3412	5162
199	3429	5144
200	3445	5125
201	3460	5105
202	3476	5086
203	3498	5075
204	3540	5094
205	3560	5081
206	3580	5067
207	3599	5053
208	3618	5037
209	3638	5024
210	3655	5006
211	3673	4990
212	3692	4975
213	3711	4959
214	3727	4941
215	3746	4926
216	3764	4909
217	3781	4891
218	3799	4875
219	3816	4856
220	3833	4839
221	3852	4824
222	3871	4808
223	3888	4791
224	3906	4775
225	3925	4759
226	3945	4744
227	3963	4728
228	3982	4712
229	3999	4695
230	4017	4677
231	4034	4660
232	4052	4643
233	4071	4627
234	4089	4611
235	4107	4594
236	4125	4578
237	4144	4562
238	4162	4546
239	4181	4529
240	4200	4513
241	4218	4497
242	4236	4481
243	4254	4464
244	4272	4447
245	4290	4429
246	4307	4412
247	4327	4396
248	4347	4382
249	4364	4364
250	4381	4346
251	4398	4328
252	4417	4312
253	4434	4295
254	4452	4277
255	4469	4260
256	4487	4242
257	4505	4226
258	4523	4208
259	4539	4190
260	4558	4174
261	4578	4158
262	4596	4142
263	4613	4124
264	4631	4107
265	4649	4090
266	4667	4073
267	4684	4055
268	4703	4039
269	4723	4023
270	4741	4006
271	4760	3990
272	4777	3972
273	4795	3955
274	4811	3936
275	4828	3919
276	4845	3900
277	4862	3883
278	4880	3865
279	4897	3848
280	4914	3830
281	4933	3813
282	4950	3795
283	4968	3778
284	4987	3762
285	5003	3744
286	5021	3727
287	5038	3709
288	5060	3694
289	5084	3681
290	5102	3664
291	5122	3648
292	5143	3633
293	5162	3617
294	5182	3601
295	5203	3586
296	5222	3569
297	5242	3553
298	5263	3538
299	5283	3522
300	5302	3505
301	5323	3490
302	5343	3474
303	5363	3458
304	5382	3441
305	5401	3424
306	5422	3408
307	5441	3392
308	5461	3375
309	5480	3358
310	5498	3341
311	5518	3325
312	5537	3308
313	5560	3293
314	5582	3278
315	5602	3262
316	5624	3246
317	5642	3229
318	5663	3213
319	5681	3195
320	5701	3179
321	5722	3163
322	5741	3146
323	5761	3129
324	5780	3112
325	5799	3095
326	5818	3078
327	5838	3061
328	5857	3044
329	5876	3027
330	5894	3009
331	5913	2992
332	5931	2974
333	5949	2956
334	5966	2938
335	5986	2921
336	6004	2904
337	6023	2886
338	6040	2868
339	6057	2850
340	6078	2834
341	6098	2817
342	6117	2800
343	6135	2782
344	6153	2764
345	6172	2747
346	6192	2730
347	6209	2712
348	6227	2694
349	6244	2676
350	6263	2658
351	6282	2641
352	6301	2624
353	6319	2606
354	6337	2588
355	6354	2570
356	6371	2552
357	6391	2535
358	6408	2517
359	6425	2498
360	6443	2480
361	6462	2463
362	6478	2444
363	6497	2427
364	6516	2410
365	6532	2391
366	6549	2373
367	6566	2355
368	6584	2337
369	6602	2319
370	6620	2302
371	6639	2284
372	6657	2266
373	6674	2248
374	6692	2230
375	6709	2212
376	6725	2194
377	6743	2176
378	6762	2158
379	6779	2140
380	6796	2122
381	6813	2104
382	6833	2087
383	6850	2069
384	6870	2052
385	6888	2034
386	6905	2016
387	6924	1998
388	6942	1980
389	6960	1963
390	6979	1945
391	7010	1931
392	7028	1913
393	7047	1895
394	7063	1877
395	7081	1859
396	7100	1842
397	7118	1824
398	7137	1806
399	7154	1788
400	7171	1770
401	7188	1752
402	7205	1734
403	7223	1716
404	7240	1698
405	7258	1680
406	7275	1662
407	7292	1644
408	7309	1626
409	7329	1608
410	7347	1591
411	7365	1573
412	7382	1555
413	7400	1537
414	7417	1519
415	7434	1501
416	7451	1483
417	7469	1465
418	7487	1447
419	7504	1429
420	7522	1411
421	7540	1393
422	7558	1375
423	7576	1358
424	7594	1340
425	7612	1322
426	7629	1304
427	7646	1286
428	7665	1268
429	7684	1250
430	7703	1233
431	7721	1215
432	7739	1197
433	7756	1179
434	7775	1161
435	7793	1144
436	7811	1126
437	7828	1108
438	7846	1090
439	7865	1072
440	7883	1054
441	7900	1036
442	7917	1018
443	7936	1001
444	7954	983
445	7971	965
446	7991	947
447	8007	929
448	8027	911
449	8046	894
450	8065	876
451	8083	858
452	8100	840
453	8117	822
454	8135	804
