path,category,size_bytes,sha256_or_directory_digest,reason,replacement_path,registry_references,manifest_references,pending_task_dependency,deletion_confidence
.pytest_cache,TEMPORARY_OR_CACHE,698,864be1d9872a9b2e0c5a46f95298fee9f83810c2c8436dec9a75e8747a5012cc,generated cache or runtime output,,,,NO,HIGH
.pytest_tmp,AMBIGUOUS_REVIEW_REQUIRED,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"Windows ACL denies read, ownership change, permission reset, move, and recursive deletion for the current account",D:/python projects/Research_pre_cleanup_backup_20260704/acl_blocked_caches/.pytest_tmp,,,NO,LOW
.tmp,TEMPORARY_OR_CACHE,17603741,a988a1c0a4bc57d9eefec35e098d55e8a1245425805bf2de788b0b9cfe41e820,generated cache or runtime output,,,,NO,HIGH
.uv-cache,TEMPORARY_OR_CACHE,3545,5dd7efad1f2d6628a9afd7e4ce4ab39bac1afda5eb062b5793ad5c8851261afa,generated cache or runtime output,,,,NO,HIGH
.uv-tools,TEMPORARY_OR_CACHE,1,c0314cc98d6eab66da5b34b4c051b43de6d3d66af44fa59093cabee3fc1e4911,generated cache or runtime output,,,,NO,HIGH
__pycache__,TEMPORARY_OR_CACHE,52797,5d2f064a9270811091993093205395137764a4a5b84460fe2510fbf3babf2b36,generated cache or runtime output,,,,NO,HIGH
_legacy_shim.py,UNUSED_CODE,623,7ef9bced24633cc7ac852750bafcf471e04e1825357041009a8bcd87ae54b677,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
catboost_info,TEMPORARY_OR_CACHE,652605,3a4ae5917f636038d3c8bb5d1eff44ac043e4c8bee15f465e3316eb7a69e7c9b,generated cache or runtime output,,,,NO,HIGH
cleanup/tools/__pycache__,TEMPORARY_OR_CACHE,100304,06b7b0cccfa3368ad830d5866c1102e6ea47419dc147518f1c7bd48fd7f3b73e,generated cache or runtime output,,,,NO,HIGH
config.yaml,UNUSED_CODE,694,7b077d4aea423c942e889092ff53b35ae886a9efef18660b58d5c709e46f31ca,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
configs/clip/contrastive_data.yaml,UNUSED_CODE,2392,c5d18c81a7520780e9c6c7d03d7f5cee4c40e9719415af3bb06bcd9b244c26ca,"tracked legacy implementation, test, config, report, or notebook superseded by active src-layout code and preserved by safety tag",pre-final-repository-cleanup-20260704,,,NO,HIGH
