path,category,size_bytes,proposed_action,confidence,reason
.agents/,AMBIGUOUS_REVIEW_REQUIRED,0,REVIEW,LOW,no high-confidence automatic classification rule applies
.pytest_cache/,TEMPORARY_OR_CACHE,698,DELETE,HIGH,standard generated cache or temporary runtime artifact
.pytest_cache/v/,TEMPORARY_OR_CACHE,158,DELETE,HIGH,standard generated cache or temporary runtime artifact
.pytest_cache/v/cache/,TEMPORARY_OR_CACHE,158,DELETE,HIGH,standard generated cache or temporary runtime artifact
.pytest_tmp/,TEMPORARY_OR_CACHE,0,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/,TEMPORARY_OR_CACHE,17603741,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/,TEMPORARY_OR_CACHE,8609793,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_baseline_rows_are_loaded_0/,TEMPORARY_OR_CACHE,86,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_baseline_rows_are_loaded_0/results/,TEMPORARY_OR_CACHE,86,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_baseline_rows_are_loaded_0/results/homecredit/,TEMPORARY_OR_CACHE,86,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_build_manifest_outputs_ar0/,TEMPORARY_OR_CACHE,1262028,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_build_manifest_outputs_ar0/first/,TEMPORARY_OR_CACHE,631014,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_build_manifest_outputs_ar0/second/,TEMPORARY_OR_CACHE,631014,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_complete_run_without_mark0/,TEMPORARY_OR_CACHE,995,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_complete_run_without_mark0/predictions/,TEMPORARY_OR_CACHE,422,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_complete_run_without_mark0/runs/,TEMPORARY_OR_CACHE,573,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_complete_run_without_mark0/runs/homecredit_lr_clip/,TEMPORARY_OR_CACHE,573,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_complete_run_without_mark0/runs/homecredit_lr_clip/features/,TEMPORARY_OR_CACHE,22,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_complete_run_without_mark0/runs/homecredit_lr_clip/models/,TEMPORARY_OR_CACHE,15,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_complete_run_without_mark0/runs/homecredit_lr_clip/results/,TEMPORARY_OR_CACHE,342,DELETE,HIGH,standard generated cache or temporary runtime artifact
.tmp/pytest-clip-final/test_contrastive_dry_run_does_0/,TEMPORARY_OR_CACHE,39237,DELETE,HIGH,standard generated cache or temporary runtime artifact
