group_id,sha256,size_bytes,copy_count,potential_duplicate_bytes,paths
duplicate_00043,0042a5cd6e8aecaa8f503219adaf87849b95f365f534dc0f3ab92b18bde10402,95076,2,95076,.tmp/pytest-clip-final/test_text_baseline_with_mock_e0/homecredit_text_only_ranking.csv;.tmp/pytest-final/test_text_baseline_with_mock_e0/homecredit_text_only_ranking.csv
duplicate_00093,008e5929fd806cb3710fc957c8b0e9299cb3799da87c5b5d2b565616afde7357,323,2,323,.venv/Lib/site-packages/cloudpickle/cloudpickle_fast.py;.venv/Lib/site-packages/joblib/externals/cloudpickle/cloudpickle_fast.py
duplicate_00104,00992da71332d98fd5774074b7bb423a7e1b16acfaebb68e19a5e634ce790237,51290965,2,51290965,results/corrected_lendingclub_to_homecredit_transfer/downstream/logistic_regression.incomplete_oof_overlap_20260629/results/oot_predictions.csv;results/corrected_lendingclub_to_homecredit_transfer/downstream/logistic_regression/results/oot_predictions.csv
duplicate_00112,00a389ea7f6ee4fa2dbf4e1d124fd5381dc4279843808afc66991ff6123cd8e2,3707,4,11121,.tmp/pytest-clip-final/test_text_baseline_with_mock_e0/group_split_audit.json;.tmp/pytest-final/test_text_baseline_with_mock_e0/group_split_audit.json;results/clip/text_baseline/group_split_audit.json;results/clip_v2/text_baseline/group_split_audit.json
duplicate_00129,00c63f9a176ac085684378787d1eb210b724fb5a172cb8c1dafc094ebf2be903,18535,2,18535,artifacts/llm_cache/fold_fold_1_8b2be439d57382b1c96a3af3769a4d8d867e99066d97ca33e20d89e40f707df1.json;results/lendingclub_v2/lr/llm/lr_llm_llm_bb103e2ac012/llm_responses/fold_1/selection_payload.json
duplicate_00141,00dcf0606054d4f927416e0b47e1fdda2e5ce036fde4b53e51084f8566428c3a,1294,3,2588,.venv/Lib/site-packages/tzdata/zoneinfo/America/Rainy_River;.venv/Lib/site-packages/tzdata/zoneinfo/America/Winnipeg;.venv/Lib/site-packages/tzdata/zoneinfo/Canada/Central
duplicate_00240,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,5,4,.venv/Lib/site-packages/pkg_resources/tests/data/my-test-package_unpacked-egg/my_test_package-1.0-py3.7.egg/EGG-INFO/dependency_links.txt;.venv/Lib/site-packages/pkg_resources/tests/data/my-test-package_unpacked-egg/my_test_package-1.0-py3.7.egg/EGG-INFO/top_level.txt;.venv/Lib/site-packages/pkg_resources/tests/data/my-test-package_unpacked-egg/my_test_package-1.0-py3.7.egg/EGG-INFO/zip-safe;.venv/Lib/site-packages/python_dateutil-2.9.0.post0.dist-info/zip-safe;.venv/Lib/site-packages/shellingham-1.5.4.dist-info/zip-safe
duplicate_00261,01de83f282cd2eb9307f73ed3678d76e6faca54aa3c4de6ed8babe88e0c480dc,79,2,79,.tmp/pytest-final/test_feature_selection_fit_nev0/spy_run/features/semantic_group_stability.csv;.tmp/pytest-final/test_pipeline_runs_on_tiny_dum0/run/features/semantic_group_stability.csv
duplicate_00338,0265799f80ab95e15a298b4b7492fabc2f9a14d8ceb9140cbb7de388c500f3a0,12632,6,63160,results/clip_v2/final_evaluation/runs/lendingclub_v2_catboost_clip_v2/llm_responses/final_dev/clip_v2_selection_manifest.csv;results/clip_v2/final_evaluation/runs/lendingclub_v2_catboost_clip_v2/llm_responses/fold_1/clip_v2_selection_manifest.csv;results/clip_v2/final_evaluation/runs/lendingclub_v2_catboost_clip_v2/llm_responses/fold_2/clip_v2_selection_manifest.csv;results/clip_v2/final_evaluation/runs/lendingclub_v2_catboost_clip_v2/llm_responses/fold_3/clip_v2_selection_manifest.csv;results/clip_v2/final_evaluation/runs/lendingclub_v2_catboost_clip_v2/llm_responses/fold_4/clip_v2_selection_manifest.csv;results/clip_v2/final_evaluation/runs/lendingclub_v2_catboost_clip_v2/llm_responses/fold_5/clip_v2_selection_manifest.csv
duplicate_00343,026dfb6bce3861bff2fdfe6a485531912661989f40b7cc2e3f561ad206311c8e,40,2,40,results/clip_v2/final_evaluation/runs/lendingclub_v2_lr_clip_v2/model_score_psi.csv;results/clip_v2/final_evaluation/runs/lendingclub_v2_lr_clip_v2/results/model_score_psi.csv
duplicate_00346,0270bcada78517dc31563be470c8374700b9428ff81e97a5ddfb937452967d72,23366,8,163562,results/homecredit/catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_159b47a7bfa0/llm_responses/final_dev/llm/iv_prefilter/iv_summary.csv;results/homecredit/catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_87fbcccf4952/llm_responses/final_dev/llm/iv_prefilter/iv_summary.csv;results/homecredit/catboost/hybrid_stable_core_llm_fill/catboost_hybrid_stable_core_llm_fill_8993eae5a4f7/llm_responses/final_dev/llm/iv_prefilter/iv_summary.csv;results/homecredit/catboost/llm/catboost_llm_llm_d54c966a1d6e/llm_responses/final_dev/iv_prefilter/iv_summary.csv;results/homecredit/lr/hybrid_boruta/lr_hybrid_llm_then_boruta_9ceedb78b89f/llm_responses/final_dev/llm/iv_prefilter/iv_summary.csv;results/homecredit/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_f69e1a0cffc2/llm_responses/final_dev/llm/iv_prefilter/iv_summary.csv;results/homecredit/lr/hybrid_stable_core_llm_fill/lr_hybrid_stable_core_llm_fill_1ddd0142e614/llm_responses/final_dev/llm/iv_prefilter/iv_summary.csv;results/homecredit/lr/llm/lr_llm_llm_66fabfd650a1/llm_responses/final_dev/iv_prefilter/iv_summary.csv
duplicate_00406,02ec269b0d8ca58c6f6b5bed79a82ec9fd16c52f49dab2016e8c8357b8bb4820,249,3,498,.venv/Lib/site-packages/plotly/graph_objs/surface/contours/x/__init__.py;.venv/Lib/site-packages/plotly/graph_objs/surface/contours/y/__init__.py;.venv/Lib/site-packages/plotly/graph_objs/surface/contours/z/__init__.py
duplicate_00437,0337887202a438246b52c44362dd3bdc40e2bcf4980faa697c36b57820282b60,15543,2,15543,results/lendingclub/lr/hybrid_boruta/lr_hybrid_llm_then_boruta_3ade576dac90/models/final_preprocessor.pkl;results/lendingclub/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_ede4e8b044ab/models/final_preprocessor.pkl
duplicate_00456,0351aa03ad3344e73feb848cc08cb84a80627cb66528f013afa1f7e8055ce617,307,2,307,.venv/Lib/site-packages/torch/include/c10/util/Float8_e5m2-inl.h;.venv/Lib/site-packages/torch/include/c10/util/Float8_e5m2.h
duplicate_00461,03591dc6754f1adb94bbafd71e0baf6d959266881ce1b0209a1c96e2e12bbfa7,38,2,38,results/clip_v2/final_evaluation/runs/homecredit_catboost_clip_v2_then_mrmr/model_score_psi.csv;results/clip_v2/final_evaluation/runs/homecredit_catboost_clip_v2_then_mrmr/results/model_score_psi.csv
duplicate_00492,03888a404f5b129923be30a7208a9e129f631d3c778a6e746c4d560e1f16b8cf,2221,2,2221,results/lendingclub_v2/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_45d98f9ad95c/features/final_selected_features.csv;results/lendingclub_v2/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_45d98f9ad95c/selected_feature_sets/final_selected_features.csv
duplicate_00496,038ce6cee1c3d8e1e3439ce675f727b23d09782cc754fb69ce1fb00a3227ba00,606,2,606,.venv/Lib/site-packages/huggingface_hub/cli/__init__.py;.venv/Lib/site-packages/transformers/cli/__init__.py
duplicate_00500,0394236db66ae95568584b918fdd2984a71f1f6f0f1ae5f1a3910e6c04400c9f,232,2,232,results/clip_v2/final_evaluation/runs/_archived_in_progress/homecredit_lr_clip_v2.in_progress_20260623_133418/config_snapshot.yaml;results/clip_v2/final_evaluation/runs/homecredit_lr_clip_v2/config_snapshot.yaml
duplicate_00574,041d044cd8fc143093a4fb8f74b10ea7e91992c4ade25a701bdc6c131bafe66d,87957,8,615699,results/homecredit/catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_159b47a7bfa0/llm_responses/fold_2/llm/feature_metadata.csv;results/homecredit/catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_87fbcccf4952/llm_responses/fold_2/llm/feature_metadata.csv;results/homecredit/catboost/hybrid_stable_core_llm_fill/catboost_hybrid_stable_core_llm_fill_8993eae5a4f7/llm_responses/fold_2/llm/feature_metadata.csv;results/homecredit/catboost/llm/catboost_llm_llm_d54c966a1d6e/llm_responses/fold_2/feature_metadata.csv;results/homecredit/lr/hybrid_boruta/lr_hybrid_llm_then_boruta_9ceedb78b89f/llm_responses/fold_2/llm/feature_metadata.csv;results/homecredit/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_f69e1a0cffc2/llm_responses/fold_2/llm/feature_metadata.csv;results/homecredit/lr/hybrid_stable_core_llm_fill/lr_hybrid_stable_core_llm_fill_1ddd0142e614/llm_responses/fold_2/llm/feature_metadata.csv;results/homecredit/lr/llm/lr_llm_llm_66fabfd650a1/llm_responses/fold_2/feature_metadata.csv
