path,type,size_bytes,sha256,git_status,modified_time_utc
.agents/,directory,0,,untracked,2026-06-19T07:50:40.935103+00:00
.env,file,179,592b499159cc12afac1079864a754fa7c39886417226508e31024a25cfcacd2e,untracked,2026-04-17T11:24:38.312690+00:00
.env.example,example,16,a6fa3fba3845bda1b64b03eb365c97d2b87b402303e01aa912f93a71e2475126,tracked,2026-05-17T11:51:58.523849+00:00
.gitignore,file,276,1134c4f11071cd1184693458d414064acd717b4b704015c59c3dfdb1817c5fdc,tracked,2026-07-04T06:17:17.276999+00:00
.pytest_tmp/,directory,0,,untracked,2026-04-23T11:49:45.583793+00:00
.python-version,file,5,02e735b3dfe1c32833eb550b7ff8ffa17f5f2bc3fa1e7bae61a8f5a3883ce398,tracked,2026-03-03T10:25:28.131348+00:00
.venv/,directory,0,,untracked,2026-06-17T05:15:15.174812+00:00
.venv/.gitignore,file,1,684888c0ebb17f374298b65ee2807526c066094c701bcc7ebbe1c1095f494fc1,untracked,2026-06-17T05:15:14.114921+00:00
.venv/.lock,file,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,untracked,2026-06-17T05:15:14.149348+00:00
.venv/CACHEDIR.TAG,tag,43,5953156d7e0c564a427251316eaf26f8870e6483ae2197f916b630e4f93e31ae,untracked,2026-06-17T05:15:14.113712+00:00
.venv/etc/,directory,0,,untracked,2026-06-17T05:15:15.168802+00:00
.venv/etc/jupyter/,directory,0,,untracked,2026-06-17T05:15:15.170812+00:00
.venv/etc/jupyter/nbconfig/,directory,0,,untracked,2026-06-17T05:15:15.171814+00:00
.venv/etc/jupyter/nbconfig/notebook.d/,directory,0,,untracked,2026-06-17T05:15:15.173813+00:00
.venv/etc/jupyter/nbconfig/notebook.d/catboost-widget.json,json,74,c5342048e77b76f38e92ca83e25e97e038b24c21890e72dfc5797f048bf25c5b,untracked,2026-03-10T06:30:01.713933+00:00
.venv/Lib/,directory,0,,untracked,2026-06-17T05:15:14.147797+00:00
.venv/Lib/site-packages/,directory,0,,untracked,2026-06-25T17:01:33.596496+00:00
.venv/Lib/site-packages/__pycache__/,directory,0,,untracked,2026-06-17T05:19:55.260845+00:00
.venv/Lib/site-packages/__pycache__/_virtualenv.cpython-313.pyc,pyc,4188,bbae932a4596d2ecf86d738d454674ba983124a28cb55145bd17c9d96d68eda7,untracked,2026-06-17T05:16:02.495197+00:00
.venv/Lib/site-packages/__pycache__/py.cpython-313.pyc,pyc,479,09f7e9527bbf8bcd29b350bda4843ee52695d12b68396168b7c943802853f281,untracked,2026-06-17T05:17:19.688773+00:00
.venv/Lib/site-packages/__pycache__/six.cpython-313.pyc,pyc,42063,b2325b3f42a3c66367e2030cc7ba3416dc1b680ced88001c9224c693c72415c1,untracked,2026-06-17T05:16:22.092995+00:00
.venv/Lib/site-packages/__pycache__/threadpoolctl.cpython-313.pyc,pyc,58090,8d648c4d9314c75765f2f6e8fe26e4211149f3b70bea75ec037276258e450059,untracked,2026-06-17T05:17:13.282227+00:00
.venv/Lib/site-packages/__pycache__/typing_extensions.cpython-313.pyc,pyc,162853,92134da4abf610a473807f98aa9f7f2380a06c465f2435cb7e38544f7a874d68,untracked,2026-06-17T05:19:55.259845+00:00
.venv/Lib/site-packages/_distutils_hack/,directory,0,,untracked,2026-06-18T05:56:10.043345+00:00
.venv/Lib/site-packages/_distutils_hack/__init__.py,py,6755,df81e6bcba34ee3e3952f776551fb669143b9490fdd6c4caeb32609f97e985b4,untracked,2026-06-18T05:52:57.593504+00:00
.venv/Lib/site-packages/_distutils_hack/__pycache__/,directory,0,,untracked,2026-06-18T05:56:10.045373+00:00
