run_id,matrix_match,provenance_match,dev_terminal_state_valid,five_fold_coverage_valid,checkpoint_artifact_integrity_valid,checkpoint_artifacts_verified,feature_budget_valid,class_1_prediction_contract_valid,oot_embargo_valid,no_partial_or_lock,canonical_dev_validator_pass,canonical_dev_validator_error,dev_prediction_rows,ordered_identity_sha256,identity_target_sha256,scientifically_reusable
cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42,True,True,True,True,True,49,True,True,True,True,True,,82647,bb50a1e6132c4a401ff8c3309983ef403f535628177006b5ba0976c01707a8f2,68ba7fef850c87b50bb41d314d77b7ca0d1de90498755d80cdb27174efe21b88,True
cdv1-002-homecredit-voting-k100-lr-s42,True,True,True,True,True,49,True,True,True,True,True,,82647,bb50a1e6132c4a401ff8c3309983ef403f535628177006b5ba0976c01707a8f2,68ba7fef850c87b50bb41d314d77b7ca0d1de90498755d80cdb27174efe21b88,True
cdv1-003-homecredit-voting-k200-lr-s42,True,True,True,True,True,49,True,True,True,True,True,,82647,bb50a1e6132c4a401ff8c3309983ef403f535628177006b5ba0976c01707a8f2,68ba7fef850c87b50bb41d314d77b7ca0d1de90498755d80cdb27174efe21b88,True
cdv1-004-homecredit-voting-k300-lr-s42,True,True,True,True,True,49,True,True,True,True,True,,82647,bb50a1e6132c4a401ff8c3309983ef403f535628177006b5ba0976c01707a8f2,68ba7fef850c87b50bb41d314d77b7ca0d1de90498755d80cdb27174efe21b88,True
cdv1-005-homecredit-reference-rf-corr-mrmr-catboost-s42,True,True,True,True,True,49,True,True,True,True,True,,82647,bb50a1e6132c4a401ff8c3309983ef403f535628177006b5ba0976c01707a8f2,68ba7fef850c87b50bb41d314d77b7ca0d1de90498755d80cdb27174efe21b88,True
cdv1-006-homecredit-voting-k100-catboost-s42,True,True,True,True,True,49,True,True,True,True,True,,82647,bb50a1e6132c4a401ff8c3309983ef403f535628177006b5ba0976c01707a8f2,68ba7fef850c87b50bb41d314d77b7ca0d1de90498755d80cdb27174efe21b88,True
cdv1-007-homecredit-voting-k200-catboost-s42,True,True,True,True,True,49,True,True,True,True,True,,82647,bb50a1e6132c4a401ff8c3309983ef403f535628177006b5ba0976c01707a8f2,68ba7fef850c87b50bb41d314d77b7ca0d1de90498755d80cdb27174efe21b88,True
cdv1-008-homecredit-voting-k300-catboost-s42,True,True,True,True,True,49,True,True,True,True,True,,82647,bb50a1e6132c4a401ff8c3309983ef403f535628177006b5ba0976c01707a8f2,68ba7fef850c87b50bb41d314d77b7ca0d1de90498755d80cdb27174efe21b88,True
cdv1-009-lendingclub-v2-reference-rf-corr-mrmr-lr-s42,True,True,True,True,True,49,True,True,True,True,True,,499180,c98fa41cfcf2cd1a6b0c4ef5bc4aa78d9604372f962be37f1c1573a0098bd64b,675f7c012252b93d4f39efd7468edbd2d4007439d29adf660ca734bef9f437f6,True
cdv1-010-lendingclub-v2-voting-k100-lr-s42,True,True,True,True,True,49,True,True,True,True,True,,499180,c98fa41cfcf2cd1a6b0c4ef5bc4aa78d9604372f962be37f1c1573a0098bd64b,675f7c012252b93d4f39efd7468edbd2d4007439d29adf660ca734bef9f437f6,True
