run_id,worker_pid,parent_pid,parent_rss_before_bytes,parent_rss_after_bytes,worker_peak_rss_bytes,minimum_system_available_ram_bytes,first_system_available_ram_bytes,last_system_available_ram_bytes,observed_child_pids,worker_completion_to_disappearance_seconds,returned_payload,status,stop_code,warnings,final_stage,final_fold_id,runtime_seconds
cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42,39744,not_recorded_by_original_release,not_recorded_by_original_release,not_recorded_by_original_release,2422800384,22997057536,25833435136,24989454336,,not_recorded_by_original_release,compact summary mapping,completed,,,final_model_fit,5,1585.3080161000253
cdv1-002-homecredit-voting-k100-lr-s42,19896,not_recorded_by_original_release,not_recorded_by_original_release,not_recorded_by_original_release,2435928064,21179752448,25421197312,24023310336,,not_recorded_by_original_release,compact summary mapping,completed,,,final_model_fit,5,4495.887557300011
cdv1-003-homecredit-voting-k200-lr-s42,38776,not_recorded_by_original_release,not_recorded_by_original_release,not_recorded_by_original_release,2387361792,21527162880,24651538432,24054009856,,not_recorded_by_original_release,compact summary mapping,completed,,,final_model_fit,5,4221.078493400011
cdv1-004-homecredit-voting-k300-lr-s42,33616,not_recorded_by_original_release,not_recorded_by_original_release,not_recorded_by_original_release,2466312192,22025674752,24674836480,23991214080,,not_recorded_by_original_release,compact summary mapping,completed,,,final_model_fit,5,4496.223821000021
cdv1-005-homecredit-reference-rf-corr-mrmr-catboost-s42,7944,not_recorded_by_original_release,not_recorded_by_original_release,not_recorded_by_original_release,2481061888,22253965312,24698220544,23980285952,,not_recorded_by_original_release,compact summary mapping,completed,,,final_model_fit,5,1620.8529908999917
cdv1-006-homecredit-voting-k100-catboost-s42,25272,not_recorded_by_original_release,not_recorded_by_original_release,not_recorded_by_original_release,2439069696,22220075008,24657989632,24376315904,,not_recorded_by_original_release,compact summary mapping,completed,,,final_model_fit,5,3311.9104111999623
cdv1-007-homecredit-voting-k200-catboost-s42,34452,not_recorded_by_original_release,not_recorded_by_original_release,not_recorded_by_original_release,2438610944,22540808192,25073184768,24399032320,,not_recorded_by_original_release,compact summary mapping,completed,,,final_model_fit,5,3824.8187755000545
cdv1-008-homecredit-voting-k300-catboost-s42,40464,not_recorded_by_original_release,not_recorded_by_original_release,not_recorded_by_original_release,2454249472,22379229184,25061326848,24133341184,,not_recorded_by_original_release,compact summary mapping,completed,,,final_model_fit,5,4593.301508900011
cdv1-009-lendingclub-v2-reference-rf-corr-mrmr-lr-s42,40792,not_recorded_by_original_release,not_recorded_by_original_release,not_recorded_by_original_release,8429666304,16614735872,24728809472,23772180480,,not_recorded_by_original_release,compact summary mapping,completed,,,final_model_fit,5,1363.1257543999818
cdv1-010-lendingclub-v2-voting-k100-lr-s42,37824,not_recorded_by_original_release,not_recorded_by_original_release,not_recorded_by_original_release,13416562688,10431221760,24936685568,26669662208,,not_recorded_by_original_release,compact summary mapping,completed,,ram_system_headroom: system-available RAM entered the configured reserve,final_model_fit,5,10492.48396719998
cdv1-011-lendingclub-v2-voting-k200-lr-s42,1664,not_recorded_by_original_release,not_recorded_by_original_release,not_recorded_by_original_release,9508982784,17601703936,27280650240,18493272064,,not_recorded_by_original_release,compact summary mapping,interrupted,manual_interrupt,,voter_boruta,3,4542.642640200036
