scenario_id,attempt,stage,branch,sample_count,start_elapsed_seconds,end_elapsed_seconds,peak_process_tree_rss_bytes,minimum_available_ram_bytes,minimum_results_free_disk_bytes,minimum_temp_free_disk_bytes,peak_gpu_bytes,rows,columns,dtype_summary,live_representations,release_checkpoint_event,warning_stop_code
cdv1-capacity-001-lendingclub-v2-largest-fold-voting-k300-s42,attempt_01,initialized,,2,0.008,1.024,163053568,26361393152,118424154112,87230447616,0,0,0,metadata,1,checkpoint_initialized,
cdv1-capacity-001-lendingclub-v2-largest-fold-voting-k300-s42,attempt_01,dev_projected_loading,,71,2.045,73.236,6360018944,20363014144,116682170368,87230447616,0,530513,675,float64/int64/object,1,DEV projection loaded,
cdv1-capacity-001-lendingclub-v2-largest-fold-voting-k300-s42,attempt_01,training_candidate_projection,,2,74.255,75.271,5954560000,20749656064,116640288768,87231483904,0,458602,675,mixed source frame,1,training frame published,
cdv1-capacity-001-lendingclub-v2-largest-fold-voting-k300-s42,attempt_01,selection_encoding,,22,76.287,97.640,4452794368,22137499648,116191543296,87227854848,0,458602,675,float32 numeric + int8 target,2,source frame released,
cdv1-capacity-001-lendingclub-v2-largest-fold-voting-k300-s42,attempt_01,voter_rf_corr_mrmr,,244,98.655,346.040,1967210496,24515993600,112259420160,87225712640,0,458602,675,float32,2,mRMR fit/released,
cdv1-capacity-001-lendingclub-v2-largest-fold-voting-k300-s42,attempt_01,voter_boruta,,4054,347.063,4479.699,6966550528,17864560640,61907202048,86318940160,0,458602,675,float32 + Boruta shadows,3,Boruta fit/released,
cdv1-capacity-001-lendingclub-v2-largest-fold-voting-k300-s42,attempt_01,rank_aggregation,,0,4479.699,4479.699,6966550528,17864560640,61907202048,86318940160,0,675,17,ranking artifacts,1,aggregate ranking published,
cdv1-capacity-001-lendingclub-v2-largest-fold-voting-k300-s42,attempt_01,top_k_projected_reload,,85,4480.716,4566.253,3241910272,17217691648,182297329664,86486417408,0,458602,300,mixed source + float32,3,top-300 reloaded,
cdv1-capacity-001-lendingclub-v2-largest-fold-voting-k300-s42,attempt_01,rfe_lr,lr,1513,4567.275,6109.876,3731988480,12424032256,182294265856,85471522816,0,458602,300,float32,2,LR selector released,
cdv1-capacity-001-lendingclub-v2-largest-fold-voting-k300-s42,attempt_01,final_model_fit_lr,lr,17,6110.891,6127.140,3579068416,20648202240,182294253568,85848756224,0,458602,67,float32 encoded,2,LR-20 published/released,
