run_id,dataset,model,method_id,feature_name,psi,drift_level,source,raw_feature_matrix_opened
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,PREV_DAYS_DECISION_MAX,12.511347253236298,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,PREV_DAYS_FIRST_DUE_MAX,1.1957239553239194,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,PREV_AMT_CREDIT_MIN,0.6072582341186968,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,PREV_AMT_APPLICATION_MIN,0.54205306000712,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,PREV_NFLAG_LAST_APPL_IN_DAY_SUM,0.4895476368263365,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,PREV_ASK_GRANT_RATIO_MIN,0.4730896319700171,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,PREV_ASK_GRANT_RATIO_VAR,0.441257009344121,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,PREV_HOUR_APPR_PROCESS_START_SUM,0.4237284695567538,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,PREV_ASK_GRANT_RATIO_MEAN,0.4171956274381661,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,0.3254230120809057,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,PREV_AMT_CREDIT_VAR,0.3163548703000309,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,AMT_REQ_CREDIT_BUREAU_QRT,0.2864298456580416,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,PREV_AMT_APPLICATION_VAR,0.2797697083562249,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,INSTAL_DAYS_INSTALMENT_MAX,0.2585058217890207,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,POS_MONTHS_BALANCE_MAX,0.2539442077609402,high,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,INSTAL_DAYS_ENTRY_PAYMENT_MAX,0.2452093604370525,moderate,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,PREV_SELLERPLACE_AREA_MIN,0.242741437852579,moderate,authenticated_saved_feature_psi,False
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,PREV_DAYS_DECISION_MEAN,0.2411071020205505,moderate,authenticated_saved_feature_psi,False
