run_id,cell_id,cell_index,phase,dataset,fold_or_split,method_id,implementation_id,method_role,evaluation_model,candidate_universe_count,candidate_universe_hash,selected_feature_count,budget_semantics,requested_budget,natural_support,feasibility_state,seed,prediction_sha256,prediction_row_identity_sha256,identity_target_sha256,metric_artifact_sha256,configuration_lock_sha256,auc,gini,ks,lift_at_10,runtime_seconds,peak_process_rss_gib,minimum_available_ram_gib,ram_wait_seconds,warnings,terminal_state
fbv1-001-homecredit-lr-full-features-s42,fbv1-001-homecredit-lr-full-features-s42,1,oot,homecredit,locked_oot,full_features,full_candidate_features_v1,control,lr,529,unsupported_not_persisted_by_prompt_10,529,full_universe,,False,completed,42,4abf2d809d8ba1e2338c47c1035a481a63a020f6d1dee7b4305f9b228bd13739,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,e61783f1267e84b56b267975da2b77be1cf21d03373c8b2d4ef6902e412dc786,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7714957527511155,0.542991505502231,0.41357459867673785,3.3811651278901467,,9.027095794677734,18.385860443115234,0.0,,completed
fbv1-002-homecredit-catboost-full-features-s42,fbv1-002-homecredit-catboost-full-features-s42,2,oot,homecredit,locked_oot,full_features,full_candidate_features_v1,control,catboost,529,unsupported_not_persisted_by_prompt_10,529,full_universe,,False,completed,42,472cfee6590fdfa73d565423b1f1a0f79e531cdaa61e5a47b62cd492abfdd1f7,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,a6227667ec1c02a3a72e5be13fd05db14c437d1e99d1c5bc7b4f8b63e5474d0d,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7860320086407899,0.5720640172815799,0.43423091924777524,3.6253499918578638,,10.453445434570312,14.970687866210938,0.0,,completed
fbv1-003-lendingclub_v2-lr-full-features-s42,fbv1-003-lendingclub_v2-lr-full-features-s42,3,oot,lendingclub_v2,locked_oot,full_features,full_candidate_features_v1,control,lr,675,unsupported_not_persisted_by_prompt_10,675,full_universe,,False,completed,42,5e415a2d976397fa6ca338906205432d7add9071f7209ad2735d31f7d40c126a,58a4c0cae484435637172dabe24671608cf022babfd29425aba0879e68244714,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,5d65ddfc1e8ca0802aa394ec8f178322a75822f118ae27f520d2837022c4989e,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7108872585675469,0.42177451713509373,0.3033897914347885,2.208835320126157,6964.255931599997,22.56481170654297,3.947418212890625,0.0,,completed
fbv1-004-lendingclub_v2-catboost-full-features-s42,fbv1-004-lendingclub_v2-catboost-full-features-s42,4,oot,lendingclub_v2,locked_oot,full_features,full_candidate_features_v1,control,catboost,675,unsupported_not_persisted_by_prompt_10,675,full_universe,,False,completed,42,e4e2b6ab9cceb963620ab54b3966eb4168d538eadfb699860e740135e6d005c4,58a4c0cae484435637172dabe24671608cf022babfd29425aba0879e68244714,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,2c51e9cd20b2fce80e5926cd0ce6ccd479aca687877952e9b59ce6d59638db04,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7229733440369057,0.44594668807381144,0.32027296292361135,2.2867804242855567,14654.651616400006,20.57247543334961,7.130462646484375,0.0,,completed
fbv1-005-homecredit-lr-random-k-s42,fbv1-005-homecredit-lr-random-k-s42,5,oot,homecredit,locked_oot,random_k,random_k_local_generator_v1,control,lr,529,unsupported_not_persisted_by_prompt_10,20,exact_budget,20.0,False,completed,42,8f802d9b560092a87054d73019e68a4212525008dad8e0cc84a17846e43b7000,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,e4582089f7bb152d5273f1aa1b1b6d4072f7cfd583146884b441255015f47153,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.6278237662995227,0.2556475325990455,0.18820239441566738,1.8617926409799093,107.38028349999513,7.937736511230469,19.471649169921875,0.0,,completed
fbv1-006-homecredit-catboost-random-k-s42,fbv1-006-homecredit-catboost-random-k-s42,6,oot,homecredit,locked_oot,random_k,random_k_local_generator_v1,control,catboost,529,unsupported_not_persisted_by_prompt_10,40,exact_budget,40.0,False,completed,42,21b025162907616fdee46e2a565f77d9cdf92142de720a6fbf1c22fa8b6bc9d3,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,557091f4202a85057e4f3a006a41a10cec82bdb302864a9731560bcc856f372a,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.685393258196267,0.3707865163925339,0.27507697110921486,2.503596536312682,240.53463680000277,7.949802398681641,19.4705810546875,0.0,,completed
fbv1-007-lendingclub_v2-lr-random-k-s42,fbv1-007-lendingclub_v2-lr-random-k-s42,7,oot,lendingclub_v2,locked_oot,random_k,random_k_local_generator_v1,control,lr,675,unsupported_not_persisted_by_prompt_10,20,exact_budget,20.0,False,completed,42,066b749a7600a868f95d1710fcaf6211265abe7ab971b6a5a2339ab1a66117d2,58a4c0cae484435637172dabe24671608cf022babfd29425aba0879e68244714,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,19e3e33bf44e257295556aa7edbe132501cf81eb79b598d76d2914b2974990a7,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.6038217755404582,0.20764355108091648,0.14978418008226174,1.4604451095129698,247.9892802999966,24.09133529663086,3.898456573486328,0.0,,completed
fbv1-008-lendingclub_v2-catboost-random-k-s42,fbv1-008-lendingclub_v2-catboost-random-k-s42,8,oot,lendingclub_v2,locked_oot,random_k,random_k_local_generator_v1,control,catboost,675,unsupported_not_persisted_by_prompt_10,40,exact_budget,40.0,False,completed,42,3c5cebb4fed35c00d49e9ec4cb0793231ff39be02d4d3cbd7e73e1a891eee28a,58a4c0cae484435637172dabe24671608cf022babfd29425aba0879e68244714,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,26508c393f52c4f9c93eb9613318502ebe3ebdfff3d1ac9b2eb6d3fce608f5d8,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.6718457995837933,0.3436915991675866,0.24773572019907458,1.929434354652518,1297.4817389999953,19.576950073242188,8.13845443725586,0.0,,completed
fbv1-009-homecredit-lr-iv-woe-s42,fbv1-009-homecredit-lr-iv-woe-s42,9,oot,homecredit,locked_oot,iv_woe,iv_woe_quantile_binned_v1,selector,lr,529,unsupported_not_persisted_by_prompt_10,20,exact_budget,20.0,False,completed,42,e95d74e4673b7e9e2a000cd21a33b7791643ff9145b154177366b072d13d4188,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,2577880815c863f19ab16a49fb04d072a5e8d60c4e03523f0e1970ab02f84cd5,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7381468221833661,0.47629364436673227,0.34823220364236557,3.005999877119823,173.79296089999843,7.932334899902344,19.56692123413086,0.0,,completed
fbv1-010-homecredit-catboost-iv-woe-s42,fbv1-010-homecredit-catboost-iv-woe-s42,10,oot,homecredit,locked_oot,iv_woe,iv_woe_quantile_binned_v1,selector,catboost,529,unsupported_not_persisted_by_prompt_10,40,exact_budget,40.0,False,completed,42,d0f96d310507f5383cd5f9c1638c7d59224e2155cdaa1da9338a525a0cb0e91f,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,cd151cd69666740aee7d10b051b7f4baa5ccecea467b56e147ece3e78b4938c0,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7685707064474809,0.5371414128949619,0.4012080599807107,3.4475908954828975,347.0224307000026,7.267284393310547,20.476821899414062,0.0,,completed
