family_id,dataset,model,split,method_a,method_b,direction_convention,ordered_identity_target_sha256,aligned_row_count,positive_count,negative_count,auc_a,auc_b,delta_auc,delta_gini,delong_variance,delong_z,delong_raw_p,delong_valid,bootstrap_auc_point,bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_seed,bootstrap_attempted,bootstrap_valid,bootstrap_interval_valid,dev_fold_auc_deltas,dev_folds_same_oot_direction,feature_count_a,feature_count_b,feature_count_comparability,natural_support_caveat,holm_family_size,holm_adjusted_p,holm_reject_0_05,bootstrap_ci_excludes_zero,evidence_strength,interpretation_limit
baseline_vs_full_features__homecredit__lr,homecredit,lr,oot,iv_woe,full_features,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7381468221833661,0.7714957527511156,-0.03334893056774946,-0.06669786113549891,3.20393685207914e-06,-18.63116180933021,1.795834278221497e-77,True,-0.03334893056774946,-0.0366793658602422,-0.029904411266874507,20260721,2000,2000,True,-0.00359056780305|-0.0184415938743|-0.0280668069354|-0.0345267258924|-0.0370260370071,5,20,529,different_counts,False,7,1.0775005669328981e-76,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_full_features__homecredit__lr,homecredit,lr,oot,mrmr_mutual_information,full_features,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7351157546380289,0.7714957527511156,-0.036379998113086676,-0.07275999622617335,3.2796303073032215e-06,-20.088625689476856,9.279515893241669e-90,True,-0.036379998113086676,-0.039831885827166125,-0.033077638516257196,20260721,2000,2000,True,-0.00509728641856|-0.0228196252846|-0.0287386398542|-0.0338262074319|-0.0327002946912,5,20,529,different_counts,False,7,6.495661125269168e-89,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_full_features__homecredit__lr,homecredit,lr,oot,lasso_l1_logistic,full_features,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7453493532411244,0.7714957527511156,-0.026146399509991203,-0.052292799019982406,2.7698779287216127e-06,-15.71019508224299,1.287822333496075e-55,True,-0.026146399509991203,-0.029318575508426346,-0.022850392985459676,20260721,2000,2000,True,0.0222584555314|-0.00393697952|-0.00670459584666|-0.00759818295281|-0.0242798637079,4,20,529,different_counts,True,7,3.863467000488225e-55,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_full_features__homecredit__lr,homecredit,lr,oot,legacy_rf_relevance_corr,full_features,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7447520668100092,0.7714957527511156,-0.026743685941106432,-0.053487371882212864,2.8783321213868433e-06,-15.763433225448589,5.5532467489537635e-56,True,-0.026743685941106432,-0.029934858725577936,-0.023492819664299152,20260721,2000,2000,True,0.00299188443191|-0.010583195187|-0.0170050729492|-0.020870911969|-0.0290429950661,4,20,529,different_counts,False,7,2.2212986995815054e-55,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_full_features__homecredit__lr,homecredit,lr,oot,catboost_shap,full_features,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7501298442067997,0.7714957527511156,-0.02136590854431586,-0.04273181708863172,2.573432467539309e-06,-13.318796310414388,1.7998593645845027e-40,True,-0.02136590854431586,-0.024410032843721403,-0.018328302077781033,20260721,2000,2000,True,0.0142991946718|-0.00286431398689|-0.00887671758486|-0.00932519807199|-0.0224453683621,4,20,529,different_counts,False,7,1.7998593645845027e-40,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_full_features__homecredit__lr,homecredit,lr,oot,boruta_random_forest,full_features,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7397382371452405,0.7714957527511156,-0.03175751560587514,-0.06351503121175028,3.0680559034479383e-06,-18.130713105998275,1.8237866772241132e-73,True,-0.03175751560587514,-0.035148346785974706,-0.02834546053278157,20260721,2000,2000,True,-0.00228237221773|-0.0204367359952|-0.0303354813955|-0.0274071854576|-0.0317847648893,5,20,529,different_counts,True,7,9.118933386120566e-73,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_full_features__homecredit__lr,homecredit,lr,oot,rfe_catboost,full_features,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7465460931107201,0.7714957527511156,-0.024949659640395527,-0.049899319280791055,2.8241488985276964e-06,-14.84638881540798,7.341841240120039e-50,True,-0.024949659640395527,-0.0282750699653362,-0.02173803822628379,20260721,2000,2000,True,0.00797587035616|-0.00948177454258|-0.0180473391391|-0.0178446836122|-0.0223718816585,4,20,529,different_counts,False,7,1.4683682480240077e-49,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_random_k__homecredit__lr,homecredit,lr,oot,iv_woe,random_k,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7381468221833661,0.6278237662995227,0.11032305588384339,0.22064611176768678,9.542769968232813e-06,35.71322381165411,2.464449685474224e-279,True,0.11032305588384339,0.10451143984832424,0.11608867678167185,20260721,2000,2000,True,0.110857242316|0.125452189896|0.0997667428815|0.093470343864|0.0931406031598,5,20,20,matched,False,7,4.928899370948448e-279,True,True,strong,scoped to this dataset/model/OOT split; non-significance is not equivalence
baseline_vs_random_k__homecredit__lr,homecredit,lr,oot,mrmr_mutual_information,random_k,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7351157546380289,0.6278237662995227,0.10729198833850617,0.21458397667701234,9.56239961189516e-06,34.696354727515626,8.941415584572955e-264,True,0.10729198833850617,0.10142105943783804,0.11301636875705112,20260721,2000,2000,True,0.109350523701|0.121074158486|0.0990949099628|0.0941708623246|0.0974663454757,5,20,20,matched,False,7,8.941415584572955e-264,True,True,strong,scoped to this dataset/model/OOT split; non-significance is not equivalence
baseline_vs_random_k__homecredit__lr,homecredit,lr,oot,lasso_l1_logistic,random_k,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7453493532411244,0.6278237662995227,0.11752558694160165,0.2350511738832033,9.691311577964436e-06,37.75210311616419,6.947425852414e-312,True,0.11752558694160165,0.11178235966518471,0.12340904104645606,20260721,2000,2000,True,0.136706265651|0.13995680425|0.12112895397|0.120398886804|0.105886776459,5,20,20,matched,True,7,2.084227755724e-311,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_random_k__homecredit__lr,homecredit,lr,oot,legacy_rf_relevance_corr,random_k,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7447520668100092,0.6278237662995227,0.11692830051048642,0.23385660102097283,9.16296668779595e-06,38.62794315751103,0.0,True,0.11692830051048642,0.11132437891327483,0.12263223406388095,20260721,2000,2000,True,0.117439694551|0.133310588583|0.110828476868|0.107126157787|0.101123645101,5,20,20,matched,False,7,0.0,True,True,strong,scoped to this dataset/model/OOT split; non-significance is not equivalence
baseline_vs_random_k__homecredit__lr,homecredit,lr,oot,catboost_shap,random_k,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7501298442067997,0.6278237662995227,0.12230607790727699,0.24461215581455398,9.71838579421167e-06,39.23295063380201,0.0,True,0.12230607790727699,0.11653678003725432,0.12834973792342963,20260721,2000,2000,True,0.128747004791|0.141029469784|0.118956832232|0.118671871684|0.107721271805,5,20,20,matched,False,7,0.0,True,True,strong,scoped to this dataset/model/OOT split; non-significance is not equivalence
baseline_vs_random_k__homecredit__lr,homecredit,lr,oot,boruta_random_forest,random_k,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7397382371452405,0.6278237662995227,0.1119144708457177,0.2238289416914354,8.694717613593316e-06,37.95408315978356,3.30431306e-315,True,0.1119144708457177,0.10648777151455903,0.11739870938756142,20260721,2000,2000,True,0.112165437902|0.123457047775|0.0974980684214|0.100589884299|0.0983818752776,5,20,20,matched,True,7,1.321725224e-314,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_random_k__homecredit__lr,homecredit,lr,oot,rfe_catboost,random_k,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7465460931107201,0.6278237662995227,0.11872232681119732,0.23744465362239464,9.55485043205333e-06,38.407890347207655,1e-322,True,0.11872232681119732,0.11297003588531684,0.12445922129090806,20260721,2000,2000,True,0.122423680476|0.134412009228|0.109786210678|0.110152386144|0.107794758508,5,20,20,matched,False,7,4.94e-322,True,True,strong,scoped to this dataset/model/OOT split; non-significance is not equivalence
baseline_vs_full_features__homecredit__catboost,homecredit,catboost,oot,iv_woe,full_features,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7685707064474809,0.78603200864079,-0.017461302193309103,-0.034922604386618206,1.1161338639674488e-06,-16.52793080555247,2.3093623763476493e-61,True,-0.017461302193309103,-0.01938343841051953,-0.015389925449300275,20260721,2000,2000,True,-0.022576408751|-0.0192577764308|-0.0177045822182|-0.0249454258285|-0.0211740483901,5,40,529,different_counts,False,7,9.237449505390597e-61,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_full_features__homecredit__catboost,homecredit,catboost,oot,mrmr_mutual_information,full_features,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.759898780138256,0.78603200864079,-0.026133228502534078,-0.052266457005068157,1.5749743263963077e-06,-20.82362462752967,2.6440851253757543e-96,True,-0.026133228502534078,-0.02864885925156269,-0.023636320701417086,20260721,2000,2000,True,-0.027927138291|-0.0285526690342|-0.0349785560703|-0.0365416005999|-0.0378594430319,5,40,529,different_counts,False,7,1.5864510752254527e-95,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_full_features__homecredit__catboost,homecredit,catboost,oot,lasso_l1_logistic,full_features,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7742262072686338,0.78603200864079,-0.011805801372156255,-0.02361160274431251,8.980395129774852e-07,-12.457983440978888,1.2652970627064044e-35,True,-0.011805801372156255,-0.013584768297720803,-0.009975777041103558,20260721,2000,2000,True,-0.011701983515|-0.00827679344236|-0.00939025016695|-0.00917224893057|-0.011944929637,5,40,529,different_counts,True,7,3.795891188119213e-35,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_full_features__homecredit__catboost,homecredit,catboost,oot,legacy_rf_relevance_corr,full_features,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7698045497949376,0.78603200864079,-0.016227458845852416,-0.03245491769170483,9.57450850233217e-07,-16.584113899491427,9.079497019269274e-62,True,-0.016227458845852416,-0.018139157175465243,-0.014353982081783508,20260721,2000,2000,True,-0.0227541699105|-0.020204644923|-0.0166650417294|-0.0168523180624|-0.0204597958062,5,40,529,different_counts,False,7,4.539748509634637e-61,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_full_features__homecredit__catboost,homecredit,catboost,oot,catboost_shap,full_features,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7795351956558698,0.78603200864079,-0.006496812984920219,-0.012993625969840439,7.42958539126639e-07,-7.537339479317397,4.7965649773037306e-14,True,-0.006496812984920219,-0.008259533108553162,-0.004807131232836715,20260721,2000,2000,True,-0.0117150338337|-0.0116276312964|-0.00183198568378|-0.00720764521648|-0.00665455503992,5,40,529,different_counts,False,7,9.593129954607461e-14,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_full_features__homecredit__catboost,homecredit,catboost,oot,boruta_random_forest,full_features,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7542024954343132,0.78603200864079,-0.03182951320647687,-0.06365902641295373,1.9863139807048418e-06,-22.58426946490737,6.187343436921721e-113,True,-0.03182951320647687,-0.0345040379312011,-0.028977986563048685,20260721,2000,2000,True,-0.0296604578951|-0.0356619103329|-0.0336678607334|-0.0429418243557|-0.031754034086,5,40,529,different_counts,True,7,4.3311404058452045e-112,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
