run_id,dataset,model,method_id,score_psi,drift_level,descriptive_thresholds,reference_split,comparison_split,binning,recomputed,audit_status
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,0.0063848433583625,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-002-homecredit-catboost-full-features-s42,homecredit,catboost,full_features,0.0114020547761064,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-003-lendingclub_v2-lr-full-features-s42,lendingclub_v2,lr,full_features,0.0020588120678201,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-004-lendingclub_v2-catboost-full-features-s42,lendingclub_v2,catboost,full_features,0.0027868918950685,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-005-homecredit-lr-random-k-s42,homecredit,lr,random_k,0.0070116213538818,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-006-homecredit-catboost-random-k-s42,homecredit,catboost,random_k,0.0036055359893779,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-007-lendingclub_v2-lr-random-k-s42,lendingclub_v2,lr,random_k,0.0695120929136092,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-008-lendingclub_v2-catboost-random-k-s42,lendingclub_v2,catboost,random_k,0.0005986097271271,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-009-homecredit-lr-iv-woe-s42,homecredit,lr,iv_woe,0.0062753063660688,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-010-homecredit-catboost-iv-woe-s42,homecredit,catboost,iv_woe,0.0035547624173025,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-011-lendingclub_v2-lr-iv-woe-s42,lendingclub_v2,lr,iv_woe,0.0064403964767863,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,lendingclub_v2,catboost,iv_woe,0.0049674150631465,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,homecredit,lr,mrmr_mutual_information,0.0037270565241599,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,homecredit,catboost,mrmr_mutual_information,0.0018568558417235,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,lendingclub_v2,lr,mrmr_mutual_information,0.011337428243871,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-016-lendingclub_v2-catboost-mrmr-mutual-information-s42,lendingclub_v2,catboost,mrmr_mutual_information,0.0017869383724159,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-017-homecredit-lr-lasso-l1-logistic-s42,homecredit,lr,lasso_l1_logistic,0.0035300260653176,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-018-homecredit-catboost-lasso-l1-logistic-s42,homecredit,catboost,lasso_l1_logistic,0.0065147070011547,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
fbv1-019-lendingclub_v2-lr-lasso-l1-logistic-s42,lendingclub_v2,lr,lasso_l1_logistic,0.0154268219800178,stable,"stable<0.10; moderate[0.10,0.25); unstable>=0.25",saved_dev_predictions,saved_oot_predictions,DEV_OOF_quantile_as_recorded_by_baseline,False,saved_authenticated_convention_audited
