run_id,dataset,model,method_id,selection_mode,fold_selected_counts,minimum_selected_count,maximum_selected_count,natural_support_varies,union_size,intersection_size,core_frequency_80_count,mean_pairwise_jaccard,minimum_pairwise_jaccard,maximum_pairwise_jaccard,kuncheva_applicability,kuncheva_stability,nogueira_applicability,nogueira_stability
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,exact_or_full_control,529|529|529|529|529,529,529,False,529,529,529,1.0,1.0,1.0,applicable,,applicable_fixed_universe_selection_matrix,1.0
fbv1-002-homecredit-catboost-full-features-s42,homecredit,catboost,full_features,exact_or_full_control,529|529|529|529|529,529,529,False,529,529,529,1.0,1.0,1.0,applicable,,applicable_fixed_universe_selection_matrix,1.0
fbv1-003-lendingclub_v2-lr-full-features-s42,lendingclub_v2,lr,full_features,exact_or_full_control,675|675|675|675|675,675,675,False,675,675,675,1.0,1.0,1.0,applicable,,applicable_fixed_universe_selection_matrix,1.0
fbv1-004-lendingclub_v2-catboost-full-features-s42,lendingclub_v2,catboost,full_features,exact_or_full_control,675|675|675|675|675,675,675,False,675,675,675,1.0,1.0,1.0,applicable,,applicable_fixed_universe_selection_matrix,1.0
fbv1-005-homecredit-lr-random-k-s42,homecredit,lr,random_k,exact_or_full_control,20|20|20|20|20,20,20,False,20,20,20,1.0,1.0,1.0,applicable,1.0,applicable_fixed_universe_selection_matrix,1.0
fbv1-006-homecredit-catboost-random-k-s42,homecredit,catboost,random_k,exact_or_full_control,40|40|40|40|40,40,40,False,40,40,40,1.0,1.0,1.0,applicable,1.0,applicable_fixed_universe_selection_matrix,1.0
fbv1-007-lendingclub_v2-lr-random-k-s42,lendingclub_v2,lr,random_k,exact_or_full_control,20|20|20|20|20,20,20,False,20,20,20,1.0,1.0,1.0,applicable,1.0,applicable_fixed_universe_selection_matrix,1.0
fbv1-008-lendingclub_v2-catboost-random-k-s42,lendingclub_v2,catboost,random_k,exact_or_full_control,40|40|40|40|40,40,40,False,40,40,40,1.0,1.0,1.0,applicable,1.0,applicable_fixed_universe_selection_matrix,1.0
fbv1-009-homecredit-lr-iv-woe-s42,homecredit,lr,iv_woe,exact_or_full_control,20|20|20|20|20,20,20,False,24,16,17,0.805288913984566,0.6666666666666666,0.9047619047619048,applicable,0.8856777996070727,applicable_fixed_universe_selection_matrix,0.8856777996070727
fbv1-010-homecredit-catboost-iv-woe-s42,homecredit,catboost,iv_woe,exact_or_full_control,40|40|40|40|40,40,40,False,51,28,35,0.7538388796052887,0.6666666666666666,0.9047619047619048,applicable,0.8458435582822087,applicable_fixed_universe_selection_matrix,0.8458435582822086
fbv1-011-lendingclub_v2-lr-iv-woe-s42,lendingclub_v2,lr,iv_woe,exact_or_full_control,20|20|20|20|20,20,20,False,23,18,18,0.871861471861472,0.8181818181818182,1.0,applicable,0.9278625954198473,applicable_fixed_universe_selection_matrix,0.9278625954198474
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,lendingclub_v2,catboost,iv_woe,exact_or_full_control,40|40|40|40|40,40,40,False,46,32,37,0.8424426193495714,0.7391304347826086,0.9512195121951219,applicable,0.906988188976378,applicable_fixed_universe_selection_matrix,0.9069881889763779
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,homecredit,lr,mrmr_mutual_information,exact_or_full_control,20|20|20|20|20,20,20,False,36,10,14,0.54320893277415,0.42857142857142855,0.7391304347826086,applicable,0.688212180746562,applicable_fixed_universe_selection_matrix,0.6882121807465618
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,homecredit,catboost,mrmr_mutual_information,exact_or_full_control,40|40|40|40|40,40,40,False,63,25,30,0.6341189438132044,0.5384615384615384,0.7021276595744681,applicable,0.7565950920245399,applicable_fixed_universe_selection_matrix,0.7565950920245399
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,lendingclub_v2,lr,mrmr_mutual_information,exact_or_full_control,20|20|20|20|20,20,20,False,27,13,18,0.732927652058087,0.5384615384615384,0.9047619047619048,applicable,0.8351145038167939,applicable_fixed_universe_selection_matrix,0.8351145038167939
fbv1-016-lendingclub_v2-catboost-mrmr-mutual-information-s42,lendingclub_v2,catboost,mrmr_mutual_information,exact_or_full_control,40|40|40|40|40,40,40,False,49,33,38,0.8462238152181971,0.7021276595744681,1.0,applicable,0.906988188976378,applicable_fixed_universe_selection_matrix,0.906988188976378
fbv1-017-homecredit-lr-lasso-l1-logistic-s42,homecredit,lr,lasso_l1_logistic,natural_support_or_capped,20|20|20|20|20,20,20,False,44,6,12,0.4160567112059108,0.21212121212121213,0.7391304347826086,applicable,0.5583005893909627,applicable_fixed_universe_selection_matrix,0.5583005893909626
fbv1-018-homecredit-catboost-lasso-l1-logistic-s42,homecredit,catboost,lasso_l1_logistic,natural_support_or_capped,40|40|40|40|40,40,40,False,86,12,22,0.40451326581075264,0.2698412698412698,0.6,applicable,0.5294171779141104,applicable_fixed_universe_selection_matrix,0.5294171779141104
fbv1-019-lendingclub_v2-lr-lasso-l1-logistic-s42,lendingclub_v2,lr,lasso_l1_logistic,natural_support_or_capped,20|20|20|20|20,20,20,False,36,8,14,0.5201127097678822,0.3793103448275862,0.8181818181818182,applicable,0.6650763358778626,applicable_fixed_universe_selection_matrix,0.6650763358778625
fbv1-020-lendingclub_v2-catboost-lasso-l1-logistic-s42,lendingclub_v2,catboost,lasso_l1_logistic,natural_support_or_capped,40|40|40|40|40,40,40,False,65,20,27,0.5712349876104434,0.42857142857142855,0.7777777777777778,applicable,0.7023622047244095,applicable_fixed_universe_selection_matrix,0.7023622047244095
fbv1-021-homecredit-lr-legacy-rf-relevance-corr-s42,homecredit,lr,legacy_rf_relevance_corr,exact_or_full_control,20|20|20|20|20,20,20,False,27,11,19,0.6998804094456268,0.5384615384615384,0.8181818181818182,applicable,0.812927308447937,applicable_fixed_universe_selection_matrix,0.8129273084479371
fbv1-022-homecredit-catboost-legacy-rf-relevance-corr-s42,homecredit,catboost,legacy_rf_relevance_corr,exact_or_full_control,40|40|40|40|40,40,40,False,64,25,29,0.6216360033213574,0.48148148148148145,0.7777777777777778,applicable,0.7430725971370143,applicable_fixed_universe_selection_matrix,0.7430725971370142
fbv1-023-lendingclub_v2-lr-legacy-rf-relevance-corr-s42,lendingclub_v2,lr,legacy_rf_relevance_corr,exact_or_full_control,20|20|20|20|20,20,20,False,29,14,18,0.7235167730819905,0.5384615384615384,0.8181818181818182,applicable,0.8299618320610687,applicable_fixed_universe_selection_matrix,0.8299618320610687
fbv1-024-lendingclub_v2-catboost-legacy-rf-relevance-corr-s42,lendingclub_v2,catboost,legacy_rf_relevance_corr,exact_or_full_control,40|40|40|40|40,40,40,False,58,26,35,0.70913976543807,0.5094339622641509,0.8604651162790697,applicable,0.8113188976377952,applicable_fixed_universe_selection_matrix,0.8113188976377952
fbv1-025-homecredit-lr-catboost-shap-s42,homecredit,lr,catboost_shap,exact_or_full_control,20|20|20|20|20,20,20,False,34,13,14,0.6108460299764646,0.48148148148148145,0.7391304347826086,applicable,0.7453732809430256,applicable_fixed_universe_selection_matrix,0.7453732809430254
fbv1-026-homecredit-catboost-catboost-shap-s42,homecredit,catboost,catboost_shap,exact_or_full_control,40|40|40|40|40,40,40,False,76,19,26,0.5022971523259339,0.3559322033898305,0.6,applicable,0.6375971370143149,applicable_fixed_universe_selection_matrix,0.6375971370143149
fbv1-027-lendingclub_v2-lr-catboost-shap-s42,lendingclub_v2,lr,catboost_shap,exact_or_full_control,20|20|20|20|20,20,20,False,31,11,14,0.5975126966431314,0.48148148148148145,0.7391304347826086,applicable,0.7372137404580152,applicable_fixed_universe_selection_matrix,0.7372137404580152
fbv1-028-lendingclub_v2-catboost-catboost-shap-s42,lendingclub_v2,catboost,catboost_shap,exact_or_full_control,40|40|40|40|40,40,40,False,62,21,30,0.6054958817762053,0.45454545454545453,0.7777777777777778,applicable,0.734251968503937,applicable_fixed_universe_selection_matrix,0.734251968503937
fbv1-029-homecredit-lr-boruta-random-forest-s42,homecredit,lr,boruta_random_forest,natural_support_or_capped,20|20|20|20|20,20,20,False,44,7,12,0.4335030490870313,0.21212121212121213,0.6666666666666666,applicable,0.5686935166994106,applicable_fixed_universe_selection_matrix,0.5686935166994106
fbv1-030-homecredit-catboost-boruta-random-forest-s42,homecredit,catboost,boruta_random_forest,natural_support_or_capped,26|40|40|40|40,26,40,True,81,9,21,0.3832459024521369,0.15789473684210525,0.7391304347826086,not_applicable_varying_subset_size,,applicable_fixed_universe_selection_matrix,0.5113353623074333
