selection_index,dataset,method_id,requested_final_budget,iv_pool_budget,candidate_count,intermediate_count,realized_budget,feasibility_state,fit_seconds,wall_limit_seconds,wall_fraction,peak_rss_gib,minimum_available_ram_gib,warning_class,retention_recommendation
1,homecredit,statistical_normalized_average_rank,20,,529,,20,completed,214.956,43200,0.004976,1.720,26.996,none,retain
2,homecredit,statistical_normalized_average_rank,40,,529,,40,completed,208.772,43200,0.004833,1.801,27.114,none,retain
3,lendingclub_v2,statistical_normalized_average_rank,20,,675,,20,completed,547.407,43200,0.012671,6.984,22.201,none,retain
4,lendingclub_v2,statistical_normalized_average_rank,40,,675,,40,completed,532.675,43200,0.012330,6.527,22.655,none,retain
5,homecredit,iv_then_boruta,,100,529,100,20,completed,27.262,21600,0.001262,2.098,27.196,none,retain
6,lendingclub_v2,iv_then_boruta,,100,675,100,86,completed,141.510,21600,0.006551,4.772,24.471,none,retain
7,homecredit,iv_then_boruta,,200,529,200,25,completed,43.269,21600,0.002003,1.792,27.616,none,retain
8,lendingclub_v2,iv_then_boruta,,200,675,200,118,completed,220.294,21600,0.010199,4.927,24.358,none,retain
9,homecredit,iv_then_boruta,,300,529,300,28,completed,54.772,21600,0.002536,2.104,27.200,none,retain
10,lendingclub_v2,iv_then_boruta,,300,675,300,134,completed,291.861,21600,0.013512,5.083,24.160,none,retain
11,homecredit,boruta_then_mrmr_mutual_information,20,,529,26,20,completed,71.381,21600,0.003305,1.789,27.422,none,retain
12,homecredit,boruta_then_mrmr_mutual_information,40,,529,26,26,infeasible_natural_support,70.280,21600,0.003254,1.804,27.359,expected_natural_support_warning,retain_with_natural_support_label
13,lendingclub_v2,boruta_then_mrmr_mutual_information,20,,675,161,20,completed,336.387,21600,0.015573,5.441,23.737,none,retain
14,lendingclub_v2,boruta_then_mrmr_mutual_information,40,,675,161,40,completed,352.589,21600,0.016324,5.444,23.692,none,retain
15,homecredit,boruta_then_rfe_catboost,20,,529,26,20,completed,77.453,43200,0.001793,1.804,27.331,none,retain
16,homecredit,boruta_then_rfe_catboost,40,,529,26,26,infeasible_natural_support,70.685,43200,0.001636,1.794,27.367,expected_natural_support_warning,retain_with_natural_support_label
17,lendingclub_v2,boruta_then_rfe_catboost,20,,675,161,20,completed,398.592,43200,0.009227,5.439,23.580,none,retain
18,lendingclub_v2,boruta_then_rfe_catboost,40,,675,161,40,completed,387.551,43200,0.008971,5.445,23.696,none,retain
