method,configuration,dataset,model,direct_comparisons,wins,ties,losses,strong,moderate,weak,not_supported,dev_to_oot_gap,stability_summary,drift_summary,resource_summary,natural_support_summary,cross_dataset_consistency,interpretation
iv_woe,k20,homecredit,lr,2,1,0,1,1,0,0,1,0.013307530389120914,jaccard=0.805288913984566; kuncheva=0.8856777996070727,score_psi=0.0062753063660688; feature_psi_mean=0.008659474815770871,fit_seconds=90.88806939125061; peak_rss_bytes=8517279744.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_woe,k20,lendingclub_v2,lr,2,1,0,1,1,0,0,1,-0.018973164451474123,jaccard=0.871861471861472; kuncheva=0.9278625954198472,score_psi=0.0064403964767863; feature_psi_mean=0.004027364550267729,fit_seconds=664.897153377533; peak_rss_bytes=24851845120.000004,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_woe,k40,homecredit,catboost,2,1,0,1,1,0,0,1,0.018040766472687042,jaccard=0.7538388796052887; kuncheva=0.8458435582822087,score_psi=0.0035547624173025; feature_psi_mean=0.004568129172459778,fit_seconds=261.7568209171295; peak_rss_bytes=7803187200.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
iv_woe,k40,lendingclub_v2,catboost,2,1,0,1,1,0,0,1,-0.018961301980975898,jaccard=0.8424426193495714; kuncheva=0.906988188976378,score_psi=0.0049674150631465; feature_psi_mean=0.00537533625877031,fit_seconds=2007.3784182071686; peak_rss_bytes=26242699264.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
mrmr_mutual_information,k20,homecredit,lr,2,1,0,1,1,0,0,1,0.010582527277403053,jaccard=0.54320893277415; kuncheva=0.688212180746562,score_psi=0.0037270565241599; feature_psi_mean=0.010718851576219973,fit_seconds=193.878666639328; peak_rss_bytes=8534069248.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
mrmr_mutual_information,k20,lendingclub_v2,lr,2,1,0,1,1,0,0,1,-0.018513135350229026,jaccard=0.732927652058087; kuncheva=0.8351145038167939,score_psi=0.011337428243871; feature_psi_mean=0.03803726690037008,fit_seconds=1164.260001897812; peak_rss_bytes=25584939008.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
mrmr_mutual_information,k40,homecredit,catboost,2,1,0,1,1,0,0,1,0.021409073245185817,jaccard=0.6341189438132044; kuncheva=0.7565950920245399,score_psi=0.0018568558417235; feature_psi_mean=0.19235343910743682,fit_seconds=530.6160197257996; peak_rss_bytes=8527388672.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
mrmr_mutual_information,k40,lendingclub_v2,catboost,2,1,0,1,1,0,0,1,-0.018305531784396867,jaccard=0.8462238152181971; kuncheva=0.906988188976378,score_psi=0.0017869383724159; feature_psi_mean=0.03937761902557236,fit_seconds=2919.052866458893; peak_rss_bytes=23416221696.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
lasso_l1_logistic,k20,homecredit,lr,2,1,0,1,1,0,0,1,0.00023194844361651423,jaccard=0.4160567112059108; kuncheva=0.5583005893909627,score_psi=0.0035300260653176; feature_psi_mean=0.009525413920305046,fit_seconds=320.6115448474884; peak_rss_bytes=8523292672.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
lasso_l1_logistic,k20,lendingclub_v2,lr,2,1,0,1,1,0,0,1,-0.037614734264422967,jaccard=0.5201127097678822; kuncheva=0.6650763358778626,score_psi=0.0154268219800178; feature_psi_mean=0.00042536269653163856,fit_seconds=4033.995035886764; peak_rss_bytes=30439686144.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
lasso_l1_logistic,k40,homecredit,catboost,2,1,0,1,1,0,0,1,0.012661860108463818,jaccard=0.4045132658107526; kuncheva=0.5294171779141104,score_psi=0.0065147070011547; feature_psi_mean=0.04199970279695404,fit_seconds=485.16467475891113; peak_rss_bytes=8528003072.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
lasso_l1_logistic,k40,lendingclub_v2,catboost,2,1,0,1,1,0,0,1,-0.020313785341097956,jaccard=0.5712349876104434; kuncheva=0.7023622047244095,score_psi=0.0057785782393885; feature_psi_mean=0.002198639893173406,fit_seconds=8650.687121868134; peak_rss_bytes=30350200832.000004,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
legacy_rf_relevance_corr,k20,homecredit,lr,2,1,0,1,1,0,0,1,0.010484486861167541,jaccard=0.6998804094456268; kuncheva=0.812927308447937,score_psi=0.0057578387497126; feature_psi_mean=0.015061543769883872,fit_seconds=1510.469014644623; peak_rss_bytes=9514078208.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
legacy_rf_relevance_corr,k20,lendingclub_v2,lr,2,1,0,1,1,0,0,1,-0.024034499270556675,jaccard=0.7235167730819905; kuncheva=0.8299618320610687,score_psi=0.0045142892138864; feature_psi_mean=0.005012807192908996,fit_seconds=1314.8607437610626; peak_rss_bytes=24633499648.0,,descriptive_only_no_pooled_effect,"Positive effects require effect size, interval, Holm result, stability, drift, and resource context."
