comparison_id,family_id,family_status,dataset,model,method,method_configuration,reference,direction,metric,method_value,reference_value,difference,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_attempted,bootstrap_valid,delong_z,raw_p_value,holm_input_p,holm_adjusted_p_value,holm_reject,win_tie_loss,population_rows,population_events,ordered_case_id_sha256,ordered_case_id_target_sha256,paired_identity_target_sha256,budget_match_status,natural_support_status,exploratory,availability,evidence_grade,method_prediction_path,reference_prediction_path,unavailable_reason,authentication_reference
p14-b-001__homecredit__lr__iv_woe__k20__vs__full_features,baseline_vs_full_features__homecredit__lr,evaluable,homecredit,lr,iv_woe,k20,full_features,method_a_minus_method_b,roc_auc,0.7381468221833661,0.7714957527511156,-0.03334893056774946,-0.0366793658602422,-0.0299044112668745,2000,2000,-18.63116180933021,1.795834278221497e-77,1.795834278221497e-77,1.0775005669328981e-76,True,loss,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,not_applicable_full_feature_reference,"{""method_a"":""budget_satisfied"",""method_b"":""full_feature_reference""}",False,evaluable,not_supported,results/full_baseline_v1/runs/homecredit/fbv1-009-homecredit-lr-iv-woe-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,,authentication_validation.json
p14-b-002__homecredit__lr__mrmr_mutual_information__k20__vs__full_features,baseline_vs_full_features__homecredit__lr,evaluable,homecredit,lr,mrmr_mutual_information,k20,full_features,method_a_minus_method_b,roc_auc,0.7351157546380289,0.7714957527511156,-0.036379998113086676,-0.0398318858271661,-0.0330776385162571,2000,2000,-20.088625689476856,9.279515893241669e-90,9.279515893241669e-90,6.495661125269168e-89,True,loss,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,not_applicable_full_feature_reference,"{""method_a"":""budget_satisfied"",""method_b"":""full_feature_reference""}",False,evaluable,not_supported,results/full_baseline_v1/runs/homecredit/fbv1-013-homecredit-lr-mrmr-mutual-information-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,,authentication_validation.json
p14-b-003__homecredit__lr__lasso_l1_logistic__k20__vs__full_features,baseline_vs_full_features__homecredit__lr,evaluable,homecredit,lr,lasso_l1_logistic,k20,full_features,method_a_minus_method_b,roc_auc,0.7453493532411244,0.7714957527511156,-0.026146399509991203,-0.0293185755084263,-0.0228503929854596,2000,2000,-15.71019508224299,1.287822333496075e-55,1.287822333496075e-55,3.863467000488225e-55,True,loss,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,not_applicable_full_feature_reference,"{""method_a"":""budget_satisfied"",""method_b"":""full_feature_reference""}",False,evaluable,not_supported,results/full_baseline_v1/runs/homecredit/fbv1-017-homecredit-lr-lasso-l1-logistic-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,,authentication_validation.json
p14-b-004__homecredit__lr__legacy_rf_relevance_corr__k20__vs__full_features,baseline_vs_full_features__homecredit__lr,evaluable,homecredit,lr,legacy_rf_relevance_corr,k20,full_features,method_a_minus_method_b,roc_auc,0.7447520668100092,0.7714957527511156,-0.026743685941106432,-0.0299348587255779,-0.0234928196642991,2000,2000,-15.763433225448589,5.5532467489537635e-56,5.5532467489537635e-56,2.2212986995815054e-55,True,loss,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,not_applicable_full_feature_reference,"{""method_a"":""budget_satisfied"",""method_b"":""full_feature_reference""}",False,evaluable,not_supported,results/full_baseline_v1/runs/homecredit/fbv1-021-homecredit-lr-legacy-rf-relevance-corr-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,,authentication_validation.json
p14-b-005__homecredit__lr__catboost_shap__k20__vs__full_features,baseline_vs_full_features__homecredit__lr,evaluable,homecredit,lr,catboost_shap,k20,full_features,method_a_minus_method_b,roc_auc,0.7501298442067997,0.7714957527511156,-0.02136590854431586,-0.0244100328437214,-0.018328302077781,2000,2000,-13.318796310414388,1.7998593645845027e-40,1.7998593645845027e-40,1.7998593645845027e-40,True,loss,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,not_applicable_full_feature_reference,"{""method_a"":""budget_satisfied"",""method_b"":""full_feature_reference""}",False,evaluable,not_supported,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,,authentication_validation.json
p14-b-006__homecredit__lr__boruta_random_forest__k20__vs__full_features,baseline_vs_full_features__homecredit__lr,evaluable,homecredit,lr,boruta_random_forest,k20,full_features,method_a_minus_method_b,roc_auc,0.7397382371452405,0.7714957527511156,-0.03175751560587514,-0.0351483467859747,-0.0283454605327815,2000,2000,-18.130713105998275,1.8237866772241132e-73,1.8237866772241132e-73,9.118933386120566e-73,True,loss,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,not_applicable_full_feature_reference,"{""method_a"":""budget_satisfied"",""method_b"":""full_feature_reference""}",False,evaluable,not_supported,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,,authentication_validation.json
p14-b-007__homecredit__lr__rfe_catboost__k20__vs__full_features,baseline_vs_full_features__homecredit__lr,evaluable,homecredit,lr,rfe_catboost,k20,full_features,method_a_minus_method_b,roc_auc,0.7465460931107201,0.7714957527511156,-0.024949659640395527,-0.0282750699653362,-0.0217380382262837,2000,2000,-14.84638881540798,7.341841240120039e-50,7.341841240120039e-50,1.4683682480240077e-49,True,loss,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,not_applicable_full_feature_reference,"{""method_a"":""budget_satisfied"",""method_b"":""full_feature_reference""}",False,evaluable,not_supported,results/full_baseline_v1/runs/homecredit/fbv1-033-homecredit-lr-rfe-catboost-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,,authentication_validation.json
p14-b-008__homecredit__lr__iv_woe__k20__vs__random_k,baseline_vs_random_k__homecredit__lr,evaluable,homecredit,lr,iv_woe,k20,random_k,method_a_minus_method_b,roc_auc,0.7381468221833661,0.6278237662995227,0.11032305588384339,0.1045114398483242,0.1160886767816718,2000,2000,35.71322381165411,2.464449685474224e-279,2.464449685474224e-279,4.928899370948448e-279,True,win,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,requested_and_realized_k_matched,"{""method_a"":""budget_satisfied"",""method_b"":""budget_satisfied""}",False,evaluable,strong,results/full_baseline_v1/runs/homecredit/fbv1-009-homecredit-lr-iv-woe-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,,authentication_validation.json
p14-b-009__homecredit__lr__mrmr_mutual_information__k20__vs__random_k,baseline_vs_random_k__homecredit__lr,evaluable,homecredit,lr,mrmr_mutual_information,k20,random_k,method_a_minus_method_b,roc_auc,0.7351157546380289,0.6278237662995227,0.10729198833850617,0.101421059437838,0.1130163687570511,2000,2000,34.696354727515626,8.941415584572955e-264,8.941415584572955e-264,8.941415584572955e-264,True,win,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,requested_and_realized_k_matched,"{""method_a"":""budget_satisfied"",""method_b"":""budget_satisfied""}",False,evaluable,strong,results/full_baseline_v1/runs/homecredit/fbv1-013-homecredit-lr-mrmr-mutual-information-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,,authentication_validation.json
p14-b-010__homecredit__lr__lasso_l1_logistic__k20__vs__random_k,baseline_vs_random_k__homecredit__lr,evaluable,homecredit,lr,lasso_l1_logistic,k20,random_k,method_a_minus_method_b,roc_auc,0.7453493532411244,0.6278237662995227,0.11752558694160165,0.1117823596651847,0.123409041046456,2000,2000,37.75210311616419,6.947425852414e-312,6.947425852414e-312,2.084227755724e-311,True,win,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,requested_and_realized_k_matched,"{""method_a"":""budget_satisfied"",""method_b"":""budget_satisfied""}",False,evaluable,strong,results/full_baseline_v1/runs/homecredit/fbv1-017-homecredit-lr-lasso-l1-logistic-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,,authentication_validation.json
