result_id,dataset,method,method_family,configuration,model,requested_k,realized_k,reference_natural_support_k,support_status,padding,oot_rows,oot_events,dev_auc_mean,dev_auc_sd,dev_auc_ci_lower,dev_auc_ci_upper,oot_auc,oot_gini,oot_ks,oot_lift_at_10,oot_bad_rate_capture_at_10,oot_log_loss,oot_brier,oot_minus_dev_auc,nogueira_stability,mean_pairwise_jaccard,kuncheva_index,score_psi,feature_psi_mean,fit_seconds,prediction_seconds,wall_clock_seconds,peak_rss_bytes,peak_gpu_memory_bytes,result_authentication_reference,prediction_authentication_reference,confirmatory_eligibility,notes
result__homecredit__lr__full_features__full,homecredit,full_features,baseline,full,lr,,529,,authenticated,False,120053,10688,0.7491696380967157,0.01988340293867628,0.7317410669835152,0.7665982092099162,0.7714957527511155,0.542991505502231,0.41357459867673785,3.3811651278901467,0.3381362275449102,0.6047059413656336,0.20330066147859185,0.02232611465439982,1.0,1.0,,0.0063848433583625,0.044521114447745244,1054.2898771762848,19.442110300064087,1102.1027846336365,9692770304.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,registry_dependent,
result__homecredit__catboost__full_features__full,homecredit,full_features,baseline,full,catboost,,529,,authenticated,False,120053,10688,0.7716615882985325,0.010204576253038354,0.7627168828346499,0.7806062937624151,0.7860320086407899,0.5720640172815799,0.43423091924777524,3.6253499918578638,0.3625561377245509,0.431142271188188,0.1373412818397661,0.01437042034225744,1.0,1.0,,0.0114020547761064,0.044521114447745244,1870.1651887893677,16.416969537734985,1910.5231807231903,11224301568.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,registry_dependent,
result__homecredit__lr__random_k__k20,homecredit,random_k,baseline,k20,lr,20,20,,authenticated,False,120053,10688,0.6203018673706652,0.018112940212086398,0.6044251752607123,0.6361785594806181,0.6278237662995227,0.2556475325990455,0.18820239441566738,1.8617926409799093,0.18619011976047903,0.6559455405756864,0.23177030028121715,0.007521898928857573,1.0,1.0,1.0,0.0070116213538818,0.00806711196576723,9.207672357559204,0.7312114238739014,18.54058861732483,8523079680.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,registry_dependent,
result__homecredit__catboost__random_k__k40,homecredit,random_k,baseline,k40,catboost,40,40,,authenticated,False,120053,10688,0.6624554644284345,0.02080950141162482,0.6442151322126003,0.6806957966442687,0.685393258196267,0.3707865163925339,0.27507697110921486,2.503596536312682,0.250374251497006,0.5288228891942953,0.17496591937377867,0.02293779376783245,1.0,1.0,1.0,0.0036055359893779,0.010049442572371519,156.56950974464417,1.198864459991455,168.06108808517456,8536035328.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-006-homecredit-catboost-random-k-s42/predictions_oot.csv,registry_dependent,
result__homecredit__lr__iv_woe__k20,homecredit,iv_woe,baseline,k20,lr,20,20,,authenticated,False,120053,10688,0.7248392917942452,0.008353582374913304,0.7175170540002327,0.7321615295882578,0.7381468221833661,0.47629364436673227,0.34823220364236557,3.005999877119823,0.3006175149700599,0.6299551283228517,0.21846482217902763,0.013307530389120914,0.8856777996070727,0.805288913984566,0.8856777996070727,0.0062753063660688,0.008659474815770871,90.88806939125061,0.758399486541748,100.2528383731842,8517279744.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-009-homecredit-lr-iv-woe-s42/predictions_oot.csv,registry_dependent,
result__homecredit__catboost__iv_woe__k40,homecredit,iv_woe,baseline,k40,catboost,40,40,,authenticated,False,120053,10688,0.7505299399747939,0.010697197914138493,0.7411534325865191,0.7599064473630687,0.7685707064474809,0.5371414128949619,0.4012080599807107,3.4475908954828975,0.34477919161676646,0.48904955217770035,0.1609429072178787,0.018040766472687042,0.8458435582822086,0.7538388796052887,0.8458435582822087,0.0035547624173025,0.004568129172459778,261.7568209171295,2.333227634429932,275.0642206668854,7803187200.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-010-homecredit-catboost-iv-woe-s42/predictions_oot.csv,registry_dependent,
result__homecredit__lr__mrmr_mutual_information__k20,homecredit,mrmr_mutual_information,baseline,k20,lr,20,20,,authenticated,False,120053,10688,0.7245332273606258,0.009144373408996036,0.7165178306633964,0.7325486240578551,0.7351157546380288,0.4702315092760576,0.34864860441645856,3.0125488964599536,0.30127245508982037,0.6239628547408924,0.21561156318989805,0.010582527277403053,0.6882121807465618,0.54320893277415,0.688212180746562,0.0037270565241599,0.010718851576219973,193.878666639328,0.8974142074584961,204.24080181121823,8534069248.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-013-homecredit-lr-mrmr-mutual-information-s42/predictions_oot.csv,registry_dependent,
result__homecredit__catboost__mrmr_mutual_information__k40,homecredit,mrmr_mutual_information,baseline,k40,catboost,40,40,,authenticated,False,120053,10688,0.7384897068930701,0.006078331976723565,0.7331618140050824,0.7438175997810579,0.759898780138256,0.5197975602765119,0.38675778243951,3.325030676403315,0.33252245508982037,0.5029163463310823,0.16713096846088565,0.021409073245185817,0.7565950920245399,0.6341189438132044,0.7565950920245399,0.0018568558417235,0.19235343910743682,530.6160197257996,1.667514085769653,544.2770285606384,8527388672.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-014-homecredit-catboost-mrmr-mutual-information-s42/predictions_oot.csv,registry_dependent,
result__homecredit__lr__lasso_l1_logistic__k20,homecredit,lasso_l1_logistic,baseline,k20,lr,20,20,,authenticated,False,120053,10688,0.7451174047975078,0.009786665765857294,0.7365390140267012,0.7536957955683143,0.7453493532411243,0.49069870648224856,0.3634826681159694,3.049971864117842,0.30501497005988026,0.6155373870020852,0.2124479072485012,0.00023194844361651423,0.5583005893909626,0.4160567112059108,0.5583005893909627,0.0035300260653176,0.009525413920305046,320.6115448474884,0.8730959892272949,330.439160823822,8523292672.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-017-homecredit-lr-lasso-l1-logistic-s42/predictions_oot.csv,registry_dependent,
result__homecredit__catboost__lasso_l1_logistic__k40,homecredit,lasso_l1_logistic,baseline,k40,catboost,40,40,,authenticated,False,120053,10688,0.76156434716017,0.010573548530412969,0.7522962232354306,0.7708324710849094,0.7742262072686338,0.5484524145372676,0.41278949952242,3.496240753438151,0.3496444610778443,0.47407113743145285,0.15516825073158763,0.012661860108463818,0.5294171779141104,0.4045132658107526,0.5294171779141104,0.0065147070011547,0.04199970279695404,485.16467475891113,1.4338889122009275,497.5840249061585,8528003072.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-018-homecredit-catboost-lasso-l1-logistic-s42/predictions_oot.csv,registry_dependent,
