rule_id,canonical_protocol_evidence,implementation_symbol,fixture_test_or_review,disposition
P15-001,root.schema_version+protocol_id+artifact_authentication_sha256,contract.load_adapter_contract+adapter.authenticate_contract_instance,test_contract_authentication_and_accounting+test_changed_protocol_digest_is_rejected+test_changed_contract_instance_is_rejected_before_inventory,implemented_tested
P15-002,approved_protocol.dataset_identity,contract.load_adapter_contract+adapter.inspect_input_inventory,test_contract_scope_counts_and_no_unresolved+test_fixture_mode_cannot_be_confused_with_research,implemented_tested
P15-003,approved_protocol.raw_file_scope.records,contract.TableSpec+contract.PartitionSpec+adapter.inspect_input_inventory,test_fixture_inventory_and_schema+test_locked_partition_order_is_independent_of_directory_enumeration,implemented_tested
P15-004,approved_protocol.raw_file_scope excluded relational_depth=2,contract.excluded_depth_2_paths+adapter.validate_requested_partition,test_unknown_and_depth2_inputs_are_rejected,implemented_tested
P15-005,approved_protocol.schema_and_cardinality_profile.schema_sha256,adapter.validate_partition_schema,test_fixture_inventory_and_schema+test_changed_schema_is_rejected,implemented_tested
P15-006,approved_protocol.schema_and_cardinality_profile.cardinality,adapter.join_depth_0+adapter.aggregate_depth_1,test_depth0_duplicate_or_orphan_rejected+test_depth1_one_to_one_cardinality_enforced,implemented_tested
P15-007,approved_protocol.adapter_protocol.row_contract,adapter.validate_base+adapter.build_modeling_matrix,test_base_validation_order_uniqueness_missing_and_target+test_end_to_end_fixture_build_and_completed_reuse,implemented_tested
P15-008,approved_protocol.leakage_and_availability_scope.records target action+adapter_protocol.leakage_boundaries.excluded_predictors,adapter.validate_base,test_base_validation_order_uniqueness_missing_and_target,implemented_tested
P15-009,approved_protocol.split_and_fold_boundaries.membership_specification.authentication_order,adapter.validate_base,test_base_validation_order_uniqueness_missing_and_target+test_end_to_end_fixture_build_and_completed_reuse,implemented_tested
P15-010,approved_protocol.adapter_protocol.depth_0.merge_order,contract.depth_0_order+adapter.build_modeling_matrix,test_locked_partition_order_is_independent_of_directory_enumeration+test_end_to_end_fixture_build_and_completed_reuse,implemented_tested
P15-011,approved_protocol.adapter_protocol.depth_0.part_handling+row_contract.join,adapter.join_depth_0,test_depth0_join_preserves_population_and_prefixes+test_depth0_duplicate_or_orphan_rejected,implemented_tested
P15-012,approved_protocol.adapter_protocol.depth_0.feature_naming,adapter.join_depth_0+adapter.predictor_columns,test_depth0_join_preserves_population_and_prefixes+test_predictor_and_lineage_order_are_deterministic,implemented_tested
P15-013,approved_protocol.adapter_protocol.depth_0.date_conversion,adapter._signed_days+adapter.join_depth_0,test_strict_date_validation+test_depth1_typed_aggregations_ties_and_dates,implemented_tested
P15-014,approved_protocol.adapter_protocol.depth_1.family_order,contract.depth_1_order+adapter.build_modeling_matrix,test_end_to_end_fixture_build_and_completed_reuse,implemented_tested
