source_table_family,relational_depth,feature_name,description,observed_dtype,logical_type,intended_aggregation,decision_time_availability,action,reason,deterministic_output_prefix
base,base,case_id,Stable case identifier.,int64,identifier,group_key_only,structural_identifier_not_predictor,exclude,stable row/join identifier; predictor use forbidden,
base,base,date_decision,Chronological split-control field.,string,split_control,none,split_control_only,exclude,chronological split/control field; predictor use forbidden,
base,base,MONTH,Chronological split-control field.,int64,split_control,none,split_control_only,exclude,chronological split/control field; predictor use forbidden,
base,base,WEEK_NUM,Chronological split-control field.,int64,split_control,none,split_control_only,exclude,chronological split/control field; predictor use forbidden,
base,base,target,Binary competition response variable.,int64,target,none,outcome,exclude,binary response variable,
applprev,1,case_id,Stable case identifier.,int64,identifier,group_key_only,structural_identifier_not_predictor,exclude,stable row/join identifier; predictor use forbidden,
applprev,1,actualdpd_943P,Days Past Due (DPD) of previous contract (actual).,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__actualdpd_943P
applprev,1,annuity_853A,Monthly annuity for previous applications.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__annuity_853A
applprev,1,approvaldate_319D,Approval Date of Previous Application,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__approvaldate_319D
applprev,1,byoccupationinc_3656910L,Applicant's income from previous applications.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__byoccupationinc_3656910L
applprev,1,cancelreason_3545846M,Application cancellation reason.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__cancelreason_3545846M
applprev,1,childnum_21L,Number of children in the previous application.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__childnum_21L
applprev,1,creationdate_885D,Date when previous application was created.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__creationdate_885D
applprev,1,credacc_actualbalance_314A,Actual balance on credit account.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__applprev__credacc_actualbalance_314A
