relative_path,byte_size,modified_utc,sha256,file_type,table_family,relational_depth,file_part_number,inclusion_status,inclusion_or_exclusion_reason,parquet_row_count,parquet_column_count,case_id_present,case_id_dtype,grouping_order_columns_json
data/homecredit_model_stability_2024/feature_definitions.csv,34047,2024-03-11T12:29:24Z,628f1f75ae2842de0dbd6559e31855e0edff87da16d382d55725d6a2afba6dd4,csv,feature_definitions,,,included,included_official_feature_definitions,,,,,[]
data/homecredit_model_stability_2024/parquet_files/train/train_applprev_1_0.parquet,106951598,2024-03-11T12:29:24Z,0301380ee0092b0d3215329896b850e6321ff1fc73ff889c07778c7034472dee,parquet,applprev,1,0,included,included_relational_depth_1,3887684,41,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_applprev_1_1.parquet,72860971,2024-03-11T12:29:36Z,cae63fdb5d8de8ba0c61eca8a9f15be4d15d24e320bf3ad8bc1c78f877d1a5d2,parquet,applprev,1,1,included,included_relational_depth_1,2638295,41,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_applprev_2.parquet,28484608,2024-03-11T12:29:42Z,,parquet,applprev,2,,excluded,excluded_relational_depth_2,14075487,6,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""},{""name"":""num_group2"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_base.parquet,7048047,2024-03-11T12:29:44Z,29d94662545eece908f20e44e6592336c9c40916dcfdad7735de92b8e9edf908,parquet,base,base,,included,included_train_base,1526659,5,True,int64,[]
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_1_0.parquet,64863053,2024-03-11T12:29:44Z,b8e29ea89da103ce50a86d3fadd24bcc9e1523b3f3d7a1fe9dedde172fee1b00,parquet,credit_bureau_a,1,0,included,included_relational_depth_1,4108212,79,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_1_1.parquet,183293106,2024-03-11T12:29:52Z,5f3c4b28e09685fbcf23e0baaac1523af96734934ab6723e5c8e8afbd7764aaf,parquet,credit_bureau_a,1,1,included,included_relational_depth_1,6009192,79,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_1_2.parquet,123506425,2024-03-11T12:30:10Z,931908b33e0c3d675f88b7ad6e134f38ffd8b838e0d906b1284f795576d545fc,parquet,credit_bureau_a,1,2,included,included_relational_depth_1,3743810,79,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_1_3.parquet,71774171,2024-03-11T12:30:22Z,b9d4f5803ecb24311fd0f2a9372629ea05262f6429070e3239be6240761a310b,parquet,credit_bureau_a,1,3,included,included_relational_depth_1,2079323,79,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_2_0.parquet,5786632,2024-03-11T12:30:28Z,,parquet,credit_bureau_a,2,0,excluded,excluded_relational_depth_2,5296031,19,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""},{""name"":""num_group2"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_2_1.parquet,10006927,2024-03-11T12:30:30Z,,parquet,credit_bureau_a,2,1,excluded,excluded_relational_depth_2,7861809,19,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""},{""name"":""num_group2"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_2_10.parquet,7646586,2024-03-11T12:30:30Z,,parquet,credit_bureau_a,2,10,excluded,excluded_relational_depth_2,4386062,19,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""},{""name"":""num_group2"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_2_2.parquet,30669743,2024-03-11T12:30:30Z,,parquet,credit_bureau_a,2,2,excluded,excluded_relational_depth_2,17893536,19,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""},{""name"":""num_group2"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_2_3.parquet,47836939,2024-03-11T12:30:34Z,,parquet,credit_bureau_a,2,3,excluded,excluded_relational_depth_2,26563901,19,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""},{""name"":""num_group2"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_2_4.parquet,49233367,2024-03-11T12:30:38Z,,parquet,credit_bureau_a,2,4,excluded,excluded_relational_depth_2,27025737,19,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""},{""name"":""num_group2"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_2_5.parquet,60984109,2024-03-11T12:30:44Z,,parquet,credit_bureau_a,2,5,excluded,excluded_relational_depth_2,33053760,19,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""},{""name"":""num_group2"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_2_6.parquet,45183113,2024-03-11T12:30:50Z,,parquet,credit_bureau_a,2,6,excluded,excluded_relational_depth_2,25511332,19,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""},{""name"":""num_group2"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_2_7.parquet,14137608,2024-03-11T12:30:54Z,,parquet,credit_bureau_a,2,7,excluded,excluded_relational_depth_2,8055986,19,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""},{""name"":""num_group2"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_2_8.parquet,23832969,2024-03-11T12:30:56Z,,parquet,credit_bureau_a,2,8,excluded,excluded_relational_depth_2,13927071,19,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""},{""name"":""num_group2"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_2_9.parquet,32090419,2024-03-11T12:30:58Z,,parquet,credit_bureau_a,2,9,excluded,excluded_relational_depth_2,18723227,19,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""},{""name"":""num_group2"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_b_1.parquet,4506882,2024-03-11T12:31:00Z,a4842614f688e939486a303e0bbd305ab3ffe952b2efacc7a8898f98d95128ff,parquet,credit_bureau_b,1,,included,included_relational_depth_1,85791,45,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_b_2.parquet,2067641,2024-03-11T12:31:02Z,,parquet,credit_bureau_b,2,,excluded,excluded_relational_depth_2,1286755,6,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""},{""name"":""num_group2"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_debitcard_1.parquet,1188384,2024-03-11T12:31:02Z,4f1d81bd55075dff22780fe6f453dd7f2f91087f58dd1651d427f9d89ce15dbf,parquet,debitcard,1,,included,included_relational_depth_1,157302,6,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_deposit_1.parquet,1598148,2024-03-11T12:31:02Z,845fa0b14c3614b4f4c37891ede924414b035e5d6c04a2a6d50a5976dcdd6996,parquet,deposit,1,,included,included_relational_depth_1,145086,5,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_other_1.parquet,805374,2024-03-11T12:31:02Z,a84aaf075bc3dd115c114bd80ed6d37f824adba0ce5829c7fb1cdd22c77af21e,parquet,other,1,,included,included_relational_depth_1,51109,7,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_person_1.parquet,43892239,2024-03-11T12:31:02Z,81fcdb5596d8f7474a8a57a5bfa7184b5d179330d3479bd83f17a9b5a59748de,parquet,person,1,,included,included_relational_depth_1,2973991,37,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_person_2.parquet,7559249,2024-03-11T12:31:06Z,,parquet,person,2,,excluded,excluded_relational_depth_2,1643410,11,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""},{""name"":""num_group2"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_static_0_0.parquet,113858592,2024-03-11T12:31:06Z,c993192e68853259183babe05870b173b2695799c9ea56a7824ee6cf6b083366,parquet,static,0,0,included,included_relational_depth_0,1003757,168,True,int64,[]
data/homecredit_model_stability_2024/parquet_files/train/train_static_0_1.parquet,74691173,2024-03-11T12:31:20Z,78adb27582754d3c986b692dbe6ca03ef43806d5265e65d9f460eef8554d3d2d,parquet,static,0,1,included,included_relational_depth_0,522902,168,True,int64,[]
data/homecredit_model_stability_2024/parquet_files/train/train_static_cb_0.parquet,30654579,2024-03-11T12:31:28Z,08a460c7c10b9ebc80597f2c7be636ba15ba68c482f138f7d2a0ebdb592b74e0,parquet,static_cb,0,,included,included_relational_depth_0,1500476,53,True,int64,[]
data/homecredit_model_stability_2024/parquet_files/train/train_tax_registry_a_1.parquet,21687764,2024-03-11T12:31:30Z,50ff790d9daec8dc48b94c18af361de3b3298bbb354b36dbfea33e04af367531,parquet,tax_registry_a,1,,included,included_relational_depth_1,3275770,5,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_tax_registry_b_1.parquet,9915038,2024-03-11T12:31:32Z,a1f1de27b00da19ee690ce86b85008d9b97dbd89c9e8a60afc2a6fb710df1e93,parquet,tax_registry_b,1,,included,included_relational_depth_1,1107933,5,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""}]"
data/homecredit_model_stability_2024/parquet_files/train/train_tax_registry_c_1.parquet,29825347,2024-03-11T12:31:34Z,59786491e9cc79058d7fdffb17ac59e77422641d8b575c61801070f047ded77d,parquet,tax_registry_c,1,,included,included_relational_depth_1,3343800,5,True,int64,"[{""name"":""num_group1"",""dtype"":""int64""}]"
