table_family,relational_depth,part_count,relative_paths_json,schema_identical_across_parts,schema_sha256,column_count,row_count,case_id_present,case_id_dtype,case_id_missing,distinct_case_ids,matched_base_case_ids,orphan_case_id_rows,orphan_distinct_case_ids,base_case_coverage_count,base_case_coverage_fraction,min_rows_per_present_case,max_rows_per_present_case,mean_rows_per_present_case,cardinality,grouping_order_columns_json
base,base,1,"[""data/homecredit_model_stability_2024/parquet_files/train/train_base.parquet""]",True,9b3f322ed1821bcd7d9964cc63885b034599face54acde5350aecc4cb97421f6,5,1526659,True,int64,0,1526659,1526659,0,0,1526659,1.0,1,1,1.0,one_to_one,{}
static,0,2,"[""data/homecredit_model_stability_2024/parquet_files/train/train_static_0_0.parquet"",""data/homecredit_model_stability_2024/parquet_files/train/train_static_0_1.parquet""]",True,f6cd08a3912dd3d70d6a63ef608b04bf58a1a150133708d84f0a1c50ca6ab347,168,1526659,True,int64,0,1526659,1526659,0,0,1526659,1.0,1,1,1.0,one_to_one,{}
static_cb,0,1,"[""data/homecredit_model_stability_2024/parquet_files/train/train_static_cb_0.parquet""]",True,e7494385be351c1a39c445c1778892a938aa9790c71b6a5283affb7d61813190,53,1500476,True,int64,0,1500476,1500476,0,0,1500476,0.9828494771916977,1,1,1.0,one_to_one,{}
applprev,1,2,"[""data/homecredit_model_stability_2024/parquet_files/train/train_applprev_1_0.parquet"",""data/homecredit_model_stability_2024/parquet_files/train/train_applprev_1_1.parquet""]",True,49c63973b44a4099e18852ec89f74b1bd3dffc72c50cb58fd2a34eb9c43df621,41,6525979,True,int64,0,1221522,1221522,0,0,1221522,0.8001275988940556,1,20,5.342498129382852,one_to_many,"{""num_group1"":{""dtype"":""int64"",""max"":19,""min"":0,""missing"":0}}"
credit_bureau_a,1,4,"[""data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_1_0.parquet"",""data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_1_1.parquet"",""data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_1_2.parquet"",""data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_a_1_3.parquet""]",True,1044dcef270dd6b89f0a607073c53fd62d9291ef191dda7b5c8b41a9be107383,79,15940537,True,int64,0,1386273,1386273,0,0,1386273,0.9080436430139278,1,529,11.498844022786276,one_to_many,"{""num_group1"":{""dtype"":""int64"",""max"":528,""min"":0,""missing"":0}}"
credit_bureau_b,1,1,"[""data/homecredit_model_stability_2024/parquet_files/train/train_credit_bureau_b_1.parquet""]",True,417cbae297764d5dda3d8ec50dc96e3af69f9fb71de99dcb092c7e2f09dfba83,45,85791,True,int64,0,36500,36500,0,0,36500,0.023908417007334315,1,21,2.3504383561643833,one_to_many,"{""num_group1"":{""dtype"":""int64"",""max"":20,""min"":0,""missing"":0}}"
debitcard,1,1,"[""data/homecredit_model_stability_2024/parquet_files/train/train_debitcard_1.parquet""]",True,f557b9d6a8384d0b5af6007d25c7fe7d7b42be5f3416412b5fecf226bff3b400,6,157302,True,int64,0,111772,111772,0,0,111772,0.07321346810256907,1,66,1.4073470994524568,one_to_many,"{""num_group1"":{""dtype"":""int64"",""max"":65,""min"":0,""missing"":0}}"
deposit,1,1,"[""data/homecredit_model_stability_2024/parquet_files/train/train_deposit_1.parquet""]",True,d91e800c4bfce6e62302fd673e0b055872570493e78127bee678871c8f4f7a8c,5,145086,True,int64,0,105111,105111,0,0,105111,0.06885034575501144,1,65,1.380312241344864,one_to_many,"{""num_group1"":{""dtype"":""int64"",""max"":64,""min"":0,""missing"":0}}"
other,1,1,"[""data/homecredit_model_stability_2024/parquet_files/train/train_other_1.parquet""]",True,76a694ad5b59442304563ed70eec45cf7c93b0ab22db83f63f63c75e88272f71,7,51109,True,int64,0,51109,51109,0,0,51109,0.03347767903637944,1,1,1.0,one_to_one,"{""num_group1"":{""dtype"":""int64"",""max"":0,""min"":0,""missing"":0}}"
person,1,1,"[""data/homecredit_model_stability_2024/parquet_files/train/train_person_1.parquet""]",True,265a15d26a5eb33669aac69ce7c5ffda154312cacf33d14fe0d39144ec366bd6,37,2973991,True,int64,0,1526659,1526659,0,0,1526659,1.0,1,10,1.948038822029019,one_to_many,"{""num_group1"":{""dtype"":""int64"",""max"":9,""min"":0,""missing"":0}}"
tax_registry_a,1,1,"[""data/homecredit_model_stability_2024/parquet_files/train/train_tax_registry_a_1.parquet""]",True,e609ba657f260781c888f4e9510293fff11f9b66ef7fbca5d7716eaad707ddf5,5,3275770,True,int64,0,457934,457934,0,0,457934,0.2999582748996338,1,99,7.153367079098735,one_to_many,"{""num_group1"":{""dtype"":""int64"",""max"":98,""min"":0,""missing"":0}}"
tax_registry_b,1,1,"[""data/homecredit_model_stability_2024/parquet_files/train/train_tax_registry_b_1.parquet""]",True,6e4c59ac70c7f2f2983e2e4bc4bc117f6a11114402cf72a3832e2e9dcc47525c,5,1107933,True,int64,0,150732,150732,0,0,150732,0.09873324691368537,1,101,7.35035029058196,one_to_many,"{""num_group1"":{""dtype"":""int64"",""max"":100,""min"":0,""missing"":0}}"
tax_registry_c,1,1,"[""data/homecredit_model_stability_2024/parquet_files/train/train_tax_registry_c_1.parquet""]",True,4367a7c86f34cb8dca4fbdd152cbd89195b8c1b3c3698c90492e3551e6d6dfc9,5,3343800,True,int64,0,482265,482265,0,0,482265,0.31589569117923516,1,121,6.933532394015738,one_to_many,"{""num_group1"":{""dtype"":""int64"",""max"":120,""min"":0,""missing"":0}}"
