profile_level,partition,fold_id,role,calendar_period,rows,target_0,target_1,date_min,date_max,unique_dates
calendar_month,ALL,,month,2019-01,75529,73566,1963,2019-01-01,2019-01-31,31
calendar_month,ALL,,month,2019-02,63064,61337,1727,2019-02-01,2019-02-28,28
calendar_month,ALL,,month,2019-03,69147,67297,1850,2019-03-01,2019-03-31,31
calendar_month,ALL,,month,2019-04,72012,69891,2121,2019-04-01,2019-04-30,30
calendar_month,ALL,,month,2019-05,64594,62462,2132,2019-05-01,2019-05-31,31
calendar_month,ALL,,month,2019-06,94398,91967,2431,2019-06-01,2019-06-30,30
calendar_month,ALL,,month,2019-07,97566,94887,2679,2019-07-01,2019-07-31,31
calendar_month,ALL,,month,2019-08,98741,96102,2639,2019-08-01,2019-08-31,31
calendar_month,ALL,,month,2019-09,98706,95347,3359,2019-09-01,2019-09-30,30
calendar_month,ALL,,month,2019-10,95149,91486,3663,2019-10-01,2019-10-31,31
calendar_month,ALL,,month,2019-11,115845,111713,4132,2019-11-01,2019-11-30,30
calendar_month,ALL,,month,2019-12,126011,121659,4352,2019-12-01,2019-12-31,31
calendar_month,ALL,,month,2020-01,86750,83213,3537,2020-01-01,2020-01-31,31
calendar_month,ALL,,month,2020-02,75183,71663,3520,2020-02-01,2020-02-29,29
calendar_month,ALL,,month,2020-03,60748,57976,2772,2020-03-01,2020-03-31,31
calendar_month,ALL,,month,2020-04,8289,8110,179,2020-04-01,2020-04-30,30
calendar_month,ALL,,month,2020-05,28725,28090,635,2020-05-01,2020-05-31,31
calendar_month,ALL,,month,2020-06,45962,44834,1128,2020-06-01,2020-06-30,30
calendar_month,ALL,,month,2020-07,28912,28252,660,2020-07-01,2020-07-31,31
calendar_month,ALL,,month,2020-08,50831,49837,994,2020-08-01,2020-08-31,31
calendar_month,ALL,,month,2020-09,61905,60573,1332,2020-09-01,2020-09-30,30
calendar_month,ALL,,month,2020-10,8592,8403,189,2020-10-01,2020-10-05,5
split,DEV,,dev,,1221743,1182098,39645,2019-01-01,2020-02-25,421
split,OOT,,oot,,304916,296567,8349,2020-02-26,2020-10-05,223
fold,DEV,1,train,,200661,195314,5347,2019-01-01,2019-03-28,87
fold,DEV,1,validation,,204567,198636,5931,2019-03-30,2019-06-19,82
fold,DEV,2,train,,402103,390901,11202,2019-01-01,2019-06-17,168
fold,DEV,2,validation,,203798,198250,5548,2019-06-20,2019-08-24,66
fold,DEV,3,train,,604598,587862,16736,2019-01-01,2019-08-22,234
fold,DEV,3,validation,,205980,198821,7159,2019-08-25,2019-10-27,64
fold,DEV,4,train,,810904,787058,23846,2019-01-01,2019-10-25,298
fold,DEV,4,validation,,201466,194186,7280,2019-10-28,2019-12-20,54
fold,DEV,5,train,,1012061,981057,31004,2019-01-01,2019-12-18,352
fold,DEV,5,validation,,202820,194521,8299,2019-12-21,2020-02-25,67
