dataset,model,selector,selector_family,result_origin,run_id,feature_count,oot_auc,oot_gini,oot_ks,lift_at_10,brier_score,log_loss,model_score_psi,semantic_group_count,largest_semantic_group_share,repeated_base_family_share,near_duplicate_family_count,runtime_seconds,checkpoint_hash,anchor_hash,feature_set_hash,statistical_view_scope,stability_metric_name,stability_metric_value
homecredit,catboost,clip,clip_extension,clip_extension,homecredit_catboost_clip,40.0,0.6624248263177388,0.3248496526354776,0.2375232262467247,2.212632962772606,,,0.0183952992144534,6.0,0.675,0.775,12.0,285.54977655410767,3f21fc12060036f117aedf9a610856c72fa9a0ce6a1540403e572de4423d7385,e5446c5141cbdf8fde8677022b75cb1905c6e4e42fb48378727ecaf31eca604d,8323722d99ecd4b499e09b9bd3ab9376257ee376cb3725e062de19e132ef3161,missingness_only,not_repeated_downstream,
homecredit,catboost,clip_then_mrmr,clip_extension,clip_extension,homecredit_catboost_clip_then_mrmr,40.0,0.7034738445547528,0.4069476891095056,0.2974303852519894,2.556924265225172,,,0.0214825615324302,8.0,0.325,0.65,12.0,565.3390667438507,3f21fc12060036f117aedf9a610856c72fa9a0ce6a1540403e572de4423d7385,e5446c5141cbdf8fde8677022b75cb1905c6e4e42fb48378727ecaf31eca604d,fe9a44cab134daac560522e1a0944d996fd8440b7ca8cdbd395ab2f194638fc0,missingness_only,not_repeated_downstream,
homecredit,catboost,llm,llm,frozen_baseline,catboost_llm_llm_d54c966a1d6e,40.0,0.7568540150189266,0.5137080300378531,0.3821677554231819,3.2904144313197694,0.153354401771698,0.4697254065994111,0.005427788724549,7.0,,0.0,,520.9378402233124,,,,,spearman_rank_stability_mean,0.1631452429146268
homecredit,catboost,llm_then_mrmr,hybrid_llm_statistical,frozen_baseline,catboost_hybrid_llm_then_mrmr_87fbcccf4952,40.0,0.7629538541556307,0.5259077083112613,0.3929239518494214,3.371809385975676,0.143793639698934,0.4464715681095206,0.0082855696687963,9.0,,0.0,,725.916565656662,,,,,spearman_rank_stability_mean,0.1631452429146268
homecredit,catboost,mrmr,statistical,frozen_baseline,catboost_statistical_mrmr_3858b721e537,40.0,0.7668389381913719,0.5336778763827439,0.4016996079162481,3.40361890848488,0.1418852652717776,0.4412906852307491,0.0102022055166872,9.0,,0.0,,960.1895372867584,,,,,spearman_rank_stability_mean,0.6907786980854425
homecredit,catboost,stable_core_llm_fill,hybrid_llm_statistical,frozen_baseline,catboost_hybrid_stable_core_llm_fill_8993eae5a4f7,40.0,0.7683426154480232,0.5366852308960464,0.4022344857329641,3.4270082632710595,0.1402461060542371,0.4371447168128066,0.0075524802778883,8.0,,0.0,,4111.481410264969,,,,,spearman_rank_stability_mean,0.1631452429146268
homecredit,lr,clip,clip_extension,clip_extension,homecredit_lr_clip,20.0,0.6234388996147056,0.2468777992294111,0.1854905784713661,1.8000447443443948,,,0.1244634819766038,4.0,0.75,0.75,5.0,7.762441635131836,3f21fc12060036f117aedf9a610856c72fa9a0ce6a1540403e572de4423d7385,e5446c5141cbdf8fde8677022b75cb1905c6e4e42fb48378727ecaf31eca604d,624a1da21626f5ab2c6f48e18253a7c1a31f28ce02f136e09850ee3b1b4b6722,missingness_only,not_repeated_downstream,
homecredit,lr,clip_then_mrmr,clip_extension,clip_extension,homecredit_lr_clip_then_mrmr,20.0,0.6632325280518375,0.326465056103675,0.2415410478248003,2.206083943432476,,,0.0038708107938376,7.0,0.3,0.25,2.0,110.65289330482484,3f21fc12060036f117aedf9a610856c72fa9a0ce6a1540403e572de4423d7385,e5446c5141cbdf8fde8677022b75cb1905c6e4e42fb48378727ecaf31eca604d,2c7ae1e8d05749b3d7b273f3dd44bf293cac549a6b67a25b5786d74fc9d32157,missingness_only,not_repeated_downstream,
homecredit,lr,llm,llm,frozen_baseline,lr_llm_llm_66fabfd650a1,20.0,0.7399558789429781,0.4799117578859562,0.3573435174295491,3.032195954480345,0.2186448905726109,0.6297593197453607,0.0066036247194321,5.0,,0.0,,47.69814014434815,,,,,spearman_rank_stability_mean,0.1631452429146268
homecredit,lr,llm_then_mrmr,hybrid_llm_statistical,frozen_baseline,lr_hybrid_llm_then_mrmr_f69e1a0cffc2,20.0,0.7380984234041859,0.4761968468083717,0.3536909456700369,2.95080099982444,0.2155088434103626,0.6227147950588581,0.0037977934894958,7.0,,0.0,,85.99596786499023,,,,,spearman_rank_stability_mean,0.1631452429146268
homecredit,lr,mrmr,statistical,frozen_baseline,lr_statistical_mrmr_53a793cb32fe,20.0,0.7456889163655954,0.4913778327311908,0.3618273893168265,3.095814999498754,0.2162734953415163,0.6259425741322084,0.0064942157560373,8.0,,0.0,,728.3589203357697,,,,,spearman_rank_stability_mean,0.6879791375533871
homecredit,lr,stable_core_llm_fill,hybrid_llm_statistical,frozen_baseline,lr_hybrid_stable_core_llm_fill_1ddd0142e614,20.0,0.7488572513798353,0.4977145027596705,0.3687800874386189,3.103299593030331,0.2137604046066485,0.6201762357962082,0.0050343905497813,8.0,,0.0,,1475.4382128715515,,,,,spearman_rank_stability_mean,0.1631452429146268
lendingclub_v2,catboost,clip,clip_extension,clip_extension,lendingclub_v2_catboost_clip,40.0,0.663602359795681,0.3272047195913621,0.2326492053444936,1.9890652896015328,,,0.004714517309751,9.0,0.575,0.0,0.0,1958.8546328544617,3f21fc12060036f117aedf9a610856c72fa9a0ce6a1540403e572de4423d7385,e5446c5141cbdf8fde8677022b75cb1905c6e4e42fb48378727ecaf31eca604d,5029c407bb8d2ca574cf8aed87d048936eebc55fcde4adf43dd387e6a58fcfc2,missingness_only,not_repeated_downstream,
lendingclub_v2,catboost,clip_then_mrmr,clip_extension,clip_extension,lendingclub_v2_catboost_clip_then_mrmr,40.0,0.6999009600453078,0.3998019200906155,0.2868083382938828,2.1502299786529235,,,0.0057153159007256,10.0,0.35,0.0,0.0,2158.9848606586456,3f21fc12060036f117aedf9a610856c72fa9a0ce6a1540403e572de4423d7385,e5446c5141cbdf8fde8677022b75cb1905c6e4e42fb48378727ecaf31eca604d,3218cc149a019a5a602565aeaa0764b49f105c6dc51d6b36a8346020d65a18bc,missingness_only,not_repeated_downstream,
lendingclub_v2,catboost,llm,llm,frozen_baseline,catboost_llm_llm_e6489647a93c,40.0,0.7137340080686116,0.4274680161372233,0.3075562926160108,2.232570483422816,0.2001649666800802,0.5838330004096559,0.0057549754591672,11.0,,0.0,,4427.890000104904,,,,,spearman_rank_stability_mean,0.3735720772292935
lendingclub_v2,catboost,llm_then_mrmr,hybrid_llm_statistical,frozen_baseline,catboost_hybrid_llm_then_mrmr_59865aa71763,40.0,0.7041506613118425,0.4083013226236849,0.2916273513872167,2.184074563353716,0.2024228726511459,0.5890221332942861,0.0063242981906304,10.0,,0.0,,4365.604312181473,,,,,spearman_rank_stability_mean,0.3242061011157972
lendingclub_v2,catboost,mrmr,statistical,frozen_baseline,catboost_statistical_mrmr_94a6a14a53a4,40.0,0.7008453389805874,0.4016906779611748,0.286417071120547,2.167225527680161,0.2035820850616016,0.5918974012513925,0.0064912559281909,9.0,,0.0,,3918.932635307312,,,,,spearman_rank_stability_mean,0.7103544451996153
lendingclub_v2,catboost,stable_core_llm_fill,hybrid_llm_statistical,frozen_baseline,catboost_hybrid_stable_core_llm_fill_8da7f3b51c4a,40.0,0.7028417268013333,0.4056834536026665,0.2898765349997213,2.187151343781061,0.2025759036480793,0.5897958506664349,0.0061622295272862,9.0,,0.0,,15359.508844614027,,,,,spearman_rank_stability_mean,0.3242061011157972
lendingclub_v2,lr,clip,clip_extension,clip_extension,lendingclub_v2_lr_clip,20.0,0.6546931314992692,0.3093862629985384,0.2228940578307549,1.9376391024587705,,,0.0074194165109498,6.0,0.7,0.0,0.0,28.08365511894226,3f21fc12060036f117aedf9a610856c72fa9a0ce6a1540403e572de4423d7385,e5446c5141cbdf8fde8677022b75cb1905c6e4e42fb48378727ecaf31eca604d,cbabff1d7810be41321169f009737aecdb74b3fc932732c8ca81e1c1dc156467,missingness_only,not_repeated_downstream,
lendingclub_v2,lr,clip_then_mrmr,clip_extension,clip_extension,lendingclub_v2_lr_clip_then_mrmr,20.0,0.6841512242757762,0.3683024485515525,0.2676869905223217,2.08400594278817,,,0.0097889440514374,5.0,0.4,0.0,0.0,232.59293961524963,3f21fc12060036f117aedf9a610856c72fa9a0ce6a1540403e572de4423d7385,e5446c5141cbdf8fde8677022b75cb1905c6e4e42fb48378727ecaf31eca604d,a8da4c9714f3bbcbf6a44b175c48fb4e92a33aa2c6e754b45df55d374911824b,missingness_only,not_repeated_downstream,
lendingclub_v2,lr,llm,llm,frozen_baseline,lr_llm_llm_bb103e2ac012,20.0,0.6926566628426155,0.385313325685231,0.2763674859928979,2.1094992663290264,0.2115760488235865,0.6138033322489733,0.0065386924744341,9.0,,0.0,,357.35038661956787,,,,,spearman_rank_stability_mean,0.3794755933835577
lendingclub_v2,lr,llm_then_mrmr,hybrid_llm_statistical,frozen_baseline,lr_hybrid_llm_then_mrmr_45d98f9ad95c,20.0,0.6907034445584147,0.3814068891168294,0.2744399265374923,2.106129459194316,0.2109355986084805,0.6121501843081412,0.00807535861196,7.0,,0.0,,1072.8285236358645,,,,,spearman_rank_stability_mean,0.3499585166491422
lendingclub_v2,lr,mrmr,statistical,frozen_baseline,lr_statistical_mrmr_c30cd6aff377,20.0,0.6886304069345962,0.3772608138691924,0.2705011763076668,2.095433984375451,0.2134675277139588,0.6179843327638259,0.0052387343667885,7.0,,0.0,,1159.6849093437197,,,,,spearman_rank_stability_mean,0.5888718705939183
lendingclub_v2,lr,stable_core_llm_fill,hybrid_llm_statistical,frozen_baseline,lr_hybrid_stable_core_llm_fill_497f694ad76d,20.0,0.6840429213781656,0.3680858427563311,0.2634418833477942,2.0932362840702043,0.2150241481420021,0.6216689097703533,0.0055864030168873,6.0,,0.0,,4356.078310489655,,,,,spearman_rank_stability_mean,0.3242061011157972
