feature_name,semantic_group,umap_1,umap_2
acc_now_delinq,delinquency_derogatory,10.122239,0.24695678
acc_now_delinq_is_zero,delinquency_derogatory,-1.4803482,9.046842
acc_now_delinq_missing_flag,missingness_or_unknown,-1.484724,10.863668
acc_now_delinq_per_credit_history_year,delinquency_derogatory,10.650486,0.8244576
acc_now_delinq_per_open_acc,delinquency_derogatory,10.593386,0.019063821
acc_now_delinq_per_total_acc,delinquency_derogatory,10.5878,-0.15932722
acc_now_delinq_positive_flag,delinquency_derogatory,-1.4043252,9.022243
acc_open_past_24mths,account_opening_activity,12.422589,3.8041768
acc_open_past_24mths_band,account_opening_activity,3.250319,18.766224
acc_open_past_24mths_is_zero,account_opening_activity,-4.0161786,8.709387
acc_open_past_24mths_missing_flag,missingness_or_unknown,-2.650423,10.673855
acc_open_past_24mths_per_credit_history_year,account_opening_activity,12.76798,3.3888655
acc_open_past_24mths_per_open_acc,account_opening_activity,12.589154,3.5135386
acc_open_past_24mths_per_total_acc,account_opening_activity,12.662332,3.5305805
acc_open_past_24mths_positive_flag,account_opening_activity,-3.4593117,8.173407
acc_open_past_24mths_share,account_opening_activity,12.689669,3.5742836
active_revolving_share,revolving_utilization,11.2158375,3.9771605
addr_state,geographic_profile,3.2538743,18.289219
all_util_ge_100_flag,balance_credit_limit_pressure,-0.79514843,6.121326
all_util_ge_30_flag,balance_credit_limit_pressure,-0.75956756,6.0018187
all_util_ge_50_flag,balance_credit_limit_pressure,-0.7196252,6.1263013
all_util_ge_75_flag,balance_credit_limit_pressure,-0.77148163,5.9931784
all_util_ge_90_flag,balance_credit_limit_pressure,-0.7200143,6.1577005
all_util_missing_flag,missingness_or_unknown,-0.31357604,10.144897
annual_inc,income_capacity,12.291903,7.5544734
annual_inc_band,income_capacity,3.2270555,18.58368
annual_inc_is_zero,income_capacity,-3.0914602,7.844087
annual_inc_joint_missing_flag,missingness_or_unknown,-2.2407746,10.650776
annual_inc_missing_flag,missingness_or_unknown,-2.5017326,10.594283
application_type,loan_terms,3.461442,17.399216
application_type_verification_status,joint_applicant,3.610143,17.901014
avg_cur_bal,balance_credit_limit_pressure,12.946406,5.9404593
