pipeline,source_dataset,evaluation_dataset,model,candidate_pool_size,final_feature_count,dev_oof_rows,dev_oof_auc,oot_rows,oot_auc,oot_ks,auc_drop,score_psi,psi_scope,nogueira_stability,mean_pairwise_jaccard,prediction_provenance,evidence_status,source_metric_path,notes
Home Credit mRMR baseline,Home Credit,Home Credit,LR,529,20,,,120053,0.7456889163655954,0.3618273893168265,,0.0064942157560373,final DEV-fit in-sample score distribution vs OOT; shared calculate_psi implementation,0.7713555992141453,0.6416722408026756,"saved 120,053-row OOT predictions; no stable borrower IDs; no pooled DEV OOF predictions",authenticated_oot_limited_row_identity,results/homecredit/lr/statistical/lr_statistical_mrmr_53a793cb32fe/results/experiment_summary.csv,OOT AUC and KS reproduced from saved row-level predictions. DEV pooled OOF and AUC drop unavailable.
Home Credit mRMR baseline,Home Credit,Home Credit,CatBoost,529,40,,,120053,0.7668389381913719,0.4016996079162481,,0.0102022055166872,final DEV-fit in-sample score distribution vs OOT; shared calculate_psi implementation,0.7295501022494888,0.6036987993068539,"saved 120,053-row OOT predictions; no stable borrower IDs; no pooled DEV OOF predictions",authenticated_oot_limited_row_identity,results/homecredit/catboost/statistical/catboost_statistical_mrmr_3858b721e537/results/experiment_summary.csv,OOT AUC and KS reproduced from saved row-level predictions. DEV pooled OOF and AUC drop unavailable.
LLM → mRMR,Home Credit,Home Credit,LR,60,20,,,120053,0.7380984234041859,0.35369094567003695,,0.0037977934894958,final DEV-fit in-sample score distribution vs OOT; shared calculate_psi implementation,,0.4043443920640806,"saved 120,053-row OOT predictions; no stable borrower IDs; no pooled DEV OOF predictions",authenticated_oot_limited_row_identity,results/homecredit/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_f69e1a0cffc2/results/experiment_summary.csv,OOT AUC and KS reproduced from saved row-level predictions. DEV pooled OOF and AUC drop unavailable.
LLM → mRMR,Home Credit,Home Credit,CatBoost,100,40,,,120053,0.7629538541556307,0.3929239518494214,,0.0082855696687963,final DEV-fit in-sample score distribution vs OOT; shared calculate_psi implementation,,0.2965565796210957,"saved 120,053-row OOT predictions; no stable borrower IDs; no pooled DEV OOF predictions",authenticated_oot_limited_row_identity,results/homecredit/catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_87fbcccf4952/results/experiment_summary.csv,OOT AUC and KS reproduced from saved row-level predictions. DEV pooled OOF and AUC drop unavailable.
corrected CLIP → mRMR,Home Credit,Home Credit,LR,60,20,,,120053,0.7336398378322221,0.3390429494528978,,0.0222948197842986,final DEV-fit in-sample score distribution vs OOT; shared calculate_psi implementation,,0.7642574816487859,"saved 120,053-row OOT predictions; no stable borrower IDs; no pooled DEV OOF predictions",authenticated_oot_limited_row_identity,results/corrected_homecredit_clip/combined_pipeline/runs/homecredit_lr_corrected_clip_then_mrmr/results/experiment_summary.csv,OOT AUC and KS reproduced from saved row-level predictions. DEV pooled OOF and AUC drop unavailable.
corrected CLIP → mRMR,Home Credit,Home Credit,CatBoost,100,40,,,120053,0.7626757739835102,0.3924831775894104,,0.0246147097918829,final DEV-fit in-sample score distribution vs OOT; shared calculate_psi implementation,,0.8027730723382897,"saved 120,053-row OOT predictions; no stable borrower IDs; no pooled DEV OOF predictions",authenticated_oot_limited_row_identity,results/corrected_homecredit_clip/combined_pipeline/runs/homecredit_catboost_corrected_clip_then_mrmr/results/experiment_summary.csv,OOT AUC and KS reproduced from saved row-level predictions. DEV pooled OOF and AUC drop unavailable.
LLM → corrected CLIP → mRMR,Home Credit,Home Credit,LR,60,20,,,120053,0.7369963072415038,0.35422401066061543,,0.0048976503279266,final DEV-fit in-sample score distribution vs OOT; shared calculate_psi implementation,,0.7291850178806701,"saved 120,053-row OOT predictions; no stable borrower IDs; no pooled DEV OOF predictions",authenticated_oot_limited_row_identity,results/corrected_homecredit_clip/combined_pipeline/runs/homecredit_lr_llm_then_corrected_clip_then_mrmr/results/experiment_summary.csv,OOT AUC and KS reproduced from saved row-level predictions. DEV pooled OOF and AUC drop unavailable.
LLM → corrected CLIP → mRMR,Home Credit,Home Credit,CatBoost,100,40,,,120053,0.7638195167065402,0.3920456243253447,,0.0040936597885268,final DEV-fit in-sample score distribution vs OOT; shared calculate_psi implementation,,0.7951946372487215,"saved 120,053-row OOT predictions; no stable borrower IDs; no pooled DEV OOF predictions",authenticated_oot_limited_row_identity,results/corrected_homecredit_clip/combined_pipeline/runs/homecredit_catboost_llm_then_corrected_clip_then_mrmr/results/experiment_summary.csv,OOT AUC and KS reproduced from saved row-level predictions. DEV pooled OOF and AUC drop unavailable.
LendingClub corrected CLIP → Home Credit,LendingClub v2,Home Credit,LR,60,20,82647.0,0.5890154000387499,120053,0.573202684690282,0.1057690578245511,0.0158127153484678,0.0735901410225949,DEV OOF reference vs OOT; DEV-OOF quantile bins,0.76,0.7298437794089969,saved OOT and pooled DEV OOF predictions with stable SK_ID_CURR; prediction and metric manifests,authenticated_direct_predictions_and_manifests,results/corrected_lendingclub_to_homecredit_transfer/downstream/logistic_regression/results/prediction_metrics.csv,Direct saved-prediction metric supersedes the legacy results/model_score_psi.csv scalar.
LendingClub corrected CLIP → Home Credit,LendingClub v2,Home Credit,CatBoost,100,40,82647.0,0.6563253233976742,120053,0.6766033514680966,0.26113238394285354,-0.0202780280704223,0.0173949955006039,DEV OOF reference vs OOT; DEV-OOF quantile bins,0.7791666666666667,0.7690564862086263,saved OOT and pooled DEV OOF predictions with stable SK_ID_CURR; prediction and metric manifests,authenticated_direct_predictions_and_manifests,results/corrected_lendingclub_to_homecredit_transfer/downstream/catboost/results/prediction_metrics.csv,Direct saved-prediction metric supersedes the legacy results/model_score_psi.csv scalar.
