evidence_cohort,dataset,method_id,model,semantic_group,role,selected_feature_count,within_selection_share
canonical_llm_matrix_v2,homecredit,boruta,catboost,application_amounts,classical_selected,2,0.05
canonical_llm_matrix_v2,homecredit,boruta,catboost,bureau_credit_history,classical_selected,18,0.45
canonical_llm_matrix_v2,homecredit,boruta,catboost,bureau_debt,classical_selected,14,0.35
canonical_llm_matrix_v2,homecredit,boruta,catboost,credit_card_utilization,classical_selected,6,0.15
canonical_llm_matrix_v2,homecredit,boruta,lr,application_amounts,classical_selected,2,0.1
canonical_llm_matrix_v2,homecredit,boruta,lr,bureau_credit_history,classical_selected,8,0.4
canonical_llm_matrix_v2,homecredit,boruta,lr,bureau_debt,classical_selected,10,0.5
canonical_llm_matrix_v2,homecredit,domain_rule_baseline,catboost,bureau_debt,classical_selected,37,0.925
canonical_llm_matrix_v2,homecredit,domain_rule_baseline,catboost,external_score,classical_selected,3,0.075
canonical_llm_matrix_v2,homecredit,domain_rule_baseline,lr,bureau_debt,classical_selected,17,0.85
canonical_llm_matrix_v2,homecredit,domain_rule_baseline,lr,external_score,classical_selected,3,0.15
canonical_llm_matrix_v2,homecredit,llm,catboost,application_amounts,llm_ranked,2,0.05
canonical_llm_matrix_v2,homecredit,llm,catboost,bureau_credit_history,llm_ranked,16,0.4
canonical_llm_matrix_v2,homecredit,llm,catboost,bureau_debt,llm_ranked,10,0.25
canonical_llm_matrix_v2,homecredit,llm,catboost,demographic_time_variables,llm_ranked,1,0.025
canonical_llm_matrix_v2,homecredit,llm,catboost,external_score,llm_ranked,3,0.075
canonical_llm_matrix_v2,homecredit,llm,catboost,income_capacity,llm_ranked,4,0.1
canonical_llm_matrix_v2,homecredit,llm,catboost,installment_repayment_behavior,llm_ranked,1,0.025
canonical_llm_matrix_v2,homecredit,llm,catboost,other,llm_ranked,3,0.075
canonical_llm_matrix_v2,homecredit,llm,lr,application_amounts,llm_ranked,2,0.1
canonical_llm_matrix_v2,homecredit,llm,lr,bureau_credit_history,llm_ranked,5,0.25
canonical_llm_matrix_v2,homecredit,llm,lr,bureau_debt,llm_ranked,2,0.1
canonical_llm_matrix_v2,homecredit,llm,lr,demographic_time_variables,llm_ranked,1,0.05
canonical_llm_matrix_v2,homecredit,llm,lr,external_score,llm_ranked,3,0.15
canonical_llm_matrix_v2,homecredit,llm,lr,income_capacity,llm_ranked,4,0.2
canonical_llm_matrix_v2,homecredit,llm,lr,other,llm_ranked,3,0.15
canonical_llm_matrix_v2,homecredit,llm_then_boruta,catboost,application_amounts,hybrid_role_not_separately_authenticated,2,0.05
canonical_llm_matrix_v2,homecredit,llm_then_boruta,catboost,bureau_credit_history,hybrid_role_not_separately_authenticated,11,0.275
canonical_llm_matrix_v2,homecredit,llm_then_boruta,catboost,bureau_debt,hybrid_role_not_separately_authenticated,4,0.1
canonical_llm_matrix_v2,homecredit,llm_then_boruta,catboost,credit_card_utilization,hybrid_role_not_separately_authenticated,8,0.2
canonical_llm_matrix_v2,homecredit,llm_then_boruta,catboost,demographic_time_variables,hybrid_role_not_separately_authenticated,2,0.05
canonical_llm_matrix_v2,homecredit,llm_then_boruta,catboost,external_score,hybrid_role_not_separately_authenticated,3,0.075
canonical_llm_matrix_v2,homecredit,llm_then_boruta,catboost,income_capacity,hybrid_role_not_separately_authenticated,2,0.05
canonical_llm_matrix_v2,homecredit,llm_then_boruta,catboost,installment_repayment_behavior,hybrid_role_not_separately_authenticated,6,0.15
canonical_llm_matrix_v2,homecredit,llm_then_boruta,catboost,other,hybrid_role_not_separately_authenticated,2,0.05
canonical_llm_matrix_v2,homecredit,llm_then_boruta,lr,application_amounts,hybrid_role_not_separately_authenticated,2,0.1
canonical_llm_matrix_v2,homecredit,llm_then_boruta,lr,bureau_credit_history,hybrid_role_not_separately_authenticated,11,0.55
canonical_llm_matrix_v2,homecredit,llm_then_boruta,lr,bureau_debt,hybrid_role_not_separately_authenticated,4,0.2
canonical_llm_matrix_v2,homecredit,llm_then_boruta,lr,income_capacity,hybrid_role_not_separately_authenticated,1,0.05
canonical_llm_matrix_v2,homecredit,llm_then_boruta,lr,other,hybrid_role_not_separately_authenticated,2,0.1
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,catboost,application_amounts,hybrid_role_not_separately_authenticated,1,0.025
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,catboost,bureau_credit_history,hybrid_role_not_separately_authenticated,7,0.175
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,catboost,bureau_debt,hybrid_role_not_separately_authenticated,5,0.125
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,catboost,credit_card_utilization,hybrid_role_not_separately_authenticated,4,0.1
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,catboost,delinquency_behavior,hybrid_role_not_separately_authenticated,3,0.075
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,catboost,demographic_time_variables,hybrid_role_not_separately_authenticated,2,0.05
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,catboost,external_score,hybrid_role_not_separately_authenticated,3,0.075
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,catboost,income_capacity,hybrid_role_not_separately_authenticated,2,0.05
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,catboost,installment_repayment_behavior,hybrid_role_not_separately_authenticated,10,0.25
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,catboost,other,hybrid_role_not_separately_authenticated,3,0.075
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,lr,bureau_credit_history,hybrid_role_not_separately_authenticated,3,0.15
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,lr,bureau_debt,hybrid_role_not_separately_authenticated,3,0.15
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,lr,demographic_time_variables,hybrid_role_not_separately_authenticated,1,0.05
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,lr,external_score,hybrid_role_not_separately_authenticated,3,0.15
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,lr,income_capacity,hybrid_role_not_separately_authenticated,2,0.1
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,lr,installment_repayment_behavior,hybrid_role_not_separately_authenticated,7,0.35
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,lr,other,hybrid_role_not_separately_authenticated,1,0.05
canonical_llm_matrix_v2,homecredit,mrmr,catboost,bureau_credit_history,classical_selected,5,0.125
canonical_llm_matrix_v2,homecredit,mrmr,catboost,bureau_debt,classical_selected,5,0.125
canonical_llm_matrix_v2,homecredit,mrmr,catboost,credit_card_utilization,classical_selected,2,0.05
canonical_llm_matrix_v2,homecredit,mrmr,catboost,delinquency_behavior,classical_selected,2,0.05
canonical_llm_matrix_v2,homecredit,mrmr,catboost,demographic_time_variables,classical_selected,4,0.1
canonical_llm_matrix_v2,homecredit,mrmr,catboost,external_score,classical_selected,3,0.075
canonical_llm_matrix_v2,homecredit,mrmr,catboost,income_capacity,classical_selected,2,0.05
canonical_llm_matrix_v2,homecredit,mrmr,catboost,installment_repayment_behavior,classical_selected,9,0.225
canonical_llm_matrix_v2,homecredit,mrmr,catboost,other,classical_selected,2,0.05
canonical_llm_matrix_v2,homecredit,mrmr,catboost,previous_application_behavior,classical_selected,6,0.15
canonical_llm_matrix_v2,homecredit,mrmr,lr,bureau_credit_history,classical_selected,2,0.1
canonical_llm_matrix_v2,homecredit,mrmr,lr,bureau_debt,classical_selected,2,0.1
canonical_llm_matrix_v2,homecredit,mrmr,lr,credit_card_utilization,classical_selected,2,0.1
canonical_llm_matrix_v2,homecredit,mrmr,lr,delinquency_behavior,classical_selected,1,0.05
canonical_llm_matrix_v2,homecredit,mrmr,lr,demographic_time_variables,classical_selected,2,0.1
canonical_llm_matrix_v2,homecredit,mrmr,lr,external_score,classical_selected,3,0.15
canonical_llm_matrix_v2,homecredit,mrmr,lr,income_capacity,classical_selected,1,0.05
canonical_llm_matrix_v2,homecredit,mrmr,lr,installment_repayment_behavior,classical_selected,4,0.2
canonical_llm_matrix_v2,homecredit,mrmr,lr,previous_application_behavior,classical_selected,3,0.15
canonical_llm_matrix_v2,homecredit,pca,catboost,other,classical_selected,40,1
canonical_llm_matrix_v2,homecredit,pca,lr,other,classical_selected,20,1
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,application_amounts,hybrid_role_not_separately_authenticated,2,0.05
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,bureau_credit_history,hybrid_role_not_separately_authenticated,8,0.2
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,bureau_debt,hybrid_role_not_separately_authenticated,6,0.15
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,credit_card_utilization,hybrid_role_not_separately_authenticated,2,0.05
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,delinquency_behavior,hybrid_role_not_separately_authenticated,1,0.025
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,demographic_time_variables,hybrid_role_not_separately_authenticated,4,0.1
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,external_score,hybrid_role_not_separately_authenticated,3,0.075
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,income_capacity,hybrid_role_not_separately_authenticated,3,0.075
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,installment_repayment_behavior,hybrid_role_not_separately_authenticated,6,0.15
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,previous_application_behavior,hybrid_role_not_separately_authenticated,5,0.125
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,application_amounts,hybrid_role_not_separately_authenticated,2,0.1
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,bureau_debt,hybrid_role_not_separately_authenticated,4,0.2
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,credit_card_utilization,hybrid_role_not_separately_authenticated,1,0.05
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,delinquency_behavior,hybrid_role_not_separately_authenticated,1,0.05
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,demographic_time_variables,hybrid_role_not_separately_authenticated,2,0.1
