dataset,model,method_a,method_b,intersection_count,union_count,jaccard,comparison_scope
homecredit,catboost,boruta,boruta,40,40,1,within-dataset compatible original-feature universe
homecredit,catboost,boruta,domain_rule_baseline,14,66,0.212121212121212,within-dataset compatible original-feature universe
homecredit,catboost,boruta,llm,15,65,0.230769230769231,within-dataset compatible original-feature universe
homecredit,catboost,boruta,llm_then_boruta,20,60,0.333333333333333,within-dataset compatible original-feature universe
homecredit,catboost,boruta,llm_then_mrmr,12,68,0.176470588235294,within-dataset compatible original-feature universe
homecredit,catboost,boruta,mrmr,10,70,0.142857142857143,within-dataset compatible original-feature universe
homecredit,catboost,boruta,pca,0,80,0,within-dataset compatible original-feature universe
homecredit,catboost,boruta,stable_core_llm_fill,13,67,0.194029850746269,within-dataset compatible original-feature universe
homecredit,catboost,domain_rule_baseline,boruta,14,66,0.212121212121212,within-dataset compatible original-feature universe
homecredit,catboost,domain_rule_baseline,domain_rule_baseline,40,40,1,within-dataset compatible original-feature universe
homecredit,catboost,domain_rule_baseline,llm,13,67,0.194029850746269,within-dataset compatible original-feature universe
homecredit,catboost,domain_rule_baseline,llm_then_boruta,7,73,0.0958904109589041,within-dataset compatible original-feature universe
homecredit,catboost,domain_rule_baseline,llm_then_mrmr,8,72,0.111111111111111,within-dataset compatible original-feature universe
homecredit,catboost,domain_rule_baseline,mrmr,8,72,0.111111111111111,within-dataset compatible original-feature universe
homecredit,catboost,domain_rule_baseline,pca,0,80,0,within-dataset compatible original-feature universe
homecredit,catboost,domain_rule_baseline,stable_core_llm_fill,9,71,0.126760563380282,within-dataset compatible original-feature universe
homecredit,catboost,llm,boruta,15,65,0.230769230769231,within-dataset compatible original-feature universe
homecredit,catboost,llm,domain_rule_baseline,13,67,0.194029850746269,within-dataset compatible original-feature universe
homecredit,catboost,llm,llm,40,40,1,within-dataset compatible original-feature universe
homecredit,catboost,llm,llm_then_boruta,23,57,0.403508771929825,within-dataset compatible original-feature universe
homecredit,catboost,llm,llm_then_mrmr,19,61,0.311475409836066,within-dataset compatible original-feature universe
homecredit,catboost,llm,mrmr,10,70,0.142857142857143,within-dataset compatible original-feature universe
homecredit,catboost,llm,pca,0,80,0,within-dataset compatible original-feature universe
homecredit,catboost,llm,stable_core_llm_fill,19,61,0.311475409836066,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_boruta,boruta,20,60,0.333333333333333,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_boruta,domain_rule_baseline,7,73,0.0958904109589041,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_boruta,llm,23,57,0.403508771929825,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_boruta,llm_then_boruta,40,40,1,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_boruta,llm_then_mrmr,26,54,0.481481481481481,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_boruta,mrmr,11,69,0.159420289855072,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_boruta,pca,0,80,0,within-dataset compatible original-feature universe
homecredit,catboost,llm_then_boruta,stable_core_llm_fill,17,63,0.26984126984127,within-dataset compatible original-feature universe
