evidence_cohort,dataset,split,fold_or_cell,method_id,model,k,status,metric_name,metric_value,source_artifact,source_sha256,availability_reason
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,auc,0.720002248213997,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,gini,0.440004496427994,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,ks,0.333929578008552,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,ks_threshold,0.468332264153632,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,decision_threshold,0.513961493524943,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,precision,0.152364607170099,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,recall,0.608530083777609,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,f1,0.243709013268263,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,accuracy,0.703409090909091,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,log_loss,0.599653325252765,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,brier,0.205533470486761,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,lift_at_10,2.85605483625286,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,bad_rate_capture_at_10,0.285605483625286,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,runtime_seconds,68.852420091629,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,feature_selection_seconds,66.9047656059265,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,training_seconds,0.0218467712402343,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,1,mrmr,lr,20,completed,peak_rss_bytes,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,2,mrmr,lr,20,completed,auc,0.734008956877299,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,2,mrmr,lr,20,completed,gini,0.468017913754598,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
