evidence_cohort,dataset,split,cell_id,method_id,model,status,reason,feature_selection_seconds,training_seconds,runtime_seconds,peak_rss_bytes,source_artifact,source_sha256,minimum_available_ram_bytes,ram_wait_seconds,supervisor_attempts,automatic_retries
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,completed,,66.9047656059265,0.0218467712402343,68.852420091629,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,completed,,92.1761772632599,0.0945706367492675,94.20827460289,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,completed,,113.884887933731,0.203402280807495,117.499079465866,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,completed,,121.568158388138,0.111839532852173,125.694041728973,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,completed,,160.633530855179,0.304212808609009,164.176412343979,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_boruta_80d39f8dcf68,boruta,lr,completed,,36.3099770545959,0.0479702949523925,37.496077299118,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_boruta_80d39f8dcf68\results\cv_results.csv,0974128e2a6ac8d27f267e98db3ae45a134469caa93cc71b0634df62e1b2639b,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_boruta_80d39f8dcf68,boruta,lr,completed,,79.902822971344,0.0699226856231689,81.611932516098,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_boruta_80d39f8dcf68\results\cv_results.csv,0974128e2a6ac8d27f267e98db3ae45a134469caa93cc71b0634df62e1b2639b,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_boruta_80d39f8dcf68,boruta,lr,completed,,136.795746803284,0.281557321548462,139.25462269783,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_boruta_80d39f8dcf68\results\cv_results.csv,0974128e2a6ac8d27f267e98db3ae45a134469caa93cc71b0634df62e1b2639b,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_boruta_80d39f8dcf68,boruta,lr,completed,,193.974605083466,0.356911182403564,197.17551279068,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_boruta_80d39f8dcf68\results\cv_results.csv,0974128e2a6ac8d27f267e98db3ae45a134469caa93cc71b0634df62e1b2639b,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_boruta_80d39f8dcf68,boruta,lr,completed,,250.183344364166,0.494791507720947,254.081858634949,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_boruta_80d39f8dcf68\results\cv_results.csv,0974128e2a6ac8d27f267e98db3ae45a134469caa93cc71b0634df62e1b2639b,,,,
