evidence_cohort,dataset,method_id,model,valid_fold_count,mean_pairwise_jaccard,nogueira_stability,kuncheva_stability,source_artifact,source_sha256
canonical_llm_matrix_v2,homecredit,mrmr,lr,5,0.641672240802676,0.771355599214145,0.771355599214145,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\features\feature_stability_metrics.csv,ab0934d38ce68aab3dec30db5c88b6c2e643df5cbfaf196993cba52bdb8d539d
canonical_llm_matrix_v2,homecredit,boruta,lr,5,0.409820435404418,0.521925343811395,0.521925343811395,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_boruta_80d39f8dcf68\features\feature_stability_metrics.csv,6db96a54b89cf2eb0c00553bfe42ddf81f7b98289fae16fbc4099ded28ed9513
canonical_llm_matrix_v2,homecredit,pca,lr,5,1,1,1,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_pca_7d168b078e9c\features\feature_stability_metrics.csv,bff1d9a214fa5ac63f4a75478964eb3604b5cf76c36330c56fbaede4444eafdc
canonical_llm_matrix_v2,homecredit,domain_rule_baseline,lr,5,1,1,1,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_domain_rule_baseline_cfdde445ea74\features\feature_stability_metrics.csv,accd4cd518862a7f612d1b1d61c4638a8cacfac0c8df4c4ea7e16e83caf829a7
canonical_llm_matrix_v2,homecredit,llm,lr,5,0.407640176327607,0.547907662082515,0.547907662082515,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\llm\lr_llm_llm_66fabfd650a1\features\feature_stability_metrics.csv,00431d684b5d1cbb70f62c08b93be712d2920379cc52084bffc4f355413c6f29
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,lr,5,0.404344392064081,0.553104125736739,0.553104125736739,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_mrmr\lr_hybrid_llm_then_mrmr_f69e1a0cffc2\features\feature_stability_metrics.csv,9a499c2d118fccae0336a43dd047b41b0b95a91fcd5f36c066be55094d4fc744
canonical_llm_matrix_v2,homecredit,llm_then_boruta,lr,5,0.303054500190206,0.438781925343811,0.438781925343811,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_boruta\lr_hybrid_llm_then_boruta_9ceedb78b89f\features\feature_stability_metrics.csv,7c38d67501dc1e0935e15a0cbf9fcc461b8149739b717e0163931ab2527354ac
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,5,0.610991970991971,0.745373280943025,0.745373280943026,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_stable_core_llm_fill\lr_hybrid_stable_core_llm_fill_1ddd0142e614\features\feature_stability_metrics.csv,a0162f25b3139cc34f52d56a5924a280bad1ce706a6a466d6c9691a25a71781d
canonical_llm_matrix_v2,homecredit,mrmr,catboost,5,0.603698799306854,0.729550102249489,0.729550102249489,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_mrmr_3858b721e537\features\feature_stability_metrics.csv,0ebb9db21ebe609a2e7e78965fb0b398bd73b912ab828ca60e14bbdb61756479
canonical_llm_matrix_v2,homecredit,boruta,catboost,5,0.452871335704925,0.564575664621677,0.564575664621677,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_boruta_486630bccdb9\features\feature_stability_metrics.csv,2b7d3dfafd14d893cca7b26ee6643493398c5fa5c5a1c4416ae5a89ad82edc2d
