evidence_cohort,comparison_id,dataset,model,comparator_method_id,reference_method_id,metric,paired_sample_definition,effect_size,ci_lower,ci_upper,raw_p_value,holm_adjusted_p_value,significant,direction,status,reason,interpretation,source_artifact,source_sha256
canonical_llm_matrix_v2,homecredit__lr__stable_core_llm_fill_vs_mrmr,homecredit,lr,stable_core_llm_fill,mrmr,DEV fold AUC,5 registered temporal folds; overlapping training windows,-0.0045011946477248,,,0.0625,0.75,False,mRMR higher,completed,,mRMR had higher AUC in 5 folds (0 ties); fold consistency was strong. The exact two-sided p-value was 0.0625; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,D:\python projects\Research_pre_cleanup_backup_20260704\results\finalized_research\final_report_inputs\evidence\significance_results.csv,056fa955b95d74b8ccaf3520ac2ea36ef48b80431edfca1b10734be828e4961c
canonical_llm_matrix_v2,homecredit__lr__llm_vs_mrmr,homecredit,lr,llm,mrmr,DEV fold AUC,5 registered temporal folds; overlapping training windows,-0.0129324582085368,,,0.0625,0.75,False,mRMR higher,completed,,mRMR had higher AUC in 5 folds (0 ties); fold consistency was strong. The exact two-sided p-value was 0.0625; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,D:\python projects\Research_pre_cleanup_backup_20260704\results\finalized_research\final_report_inputs\evidence\significance_results.csv,056fa955b95d74b8ccaf3520ac2ea36ef48b80431edfca1b10734be828e4961c
canonical_llm_matrix_v2,homecredit__lr__llm_then_mrmr_vs_mrmr,homecredit,lr,llm_then_mrmr,mrmr,DEV fold AUC,5 registered temporal folds; overlapping training windows,-0.0033158651554003,,,0.1875,0.75,False,mRMR higher,completed,,mRMR had higher AUC in 4 folds (0 ties); fold consistency was moderate. The exact two-sided p-value was 0.1875; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,D:\python projects\Research_pre_cleanup_backup_20260704\results\finalized_research\final_report_inputs\evidence\significance_results.csv,056fa955b95d74b8ccaf3520ac2ea36ef48b80431edfca1b10734be828e4961c
canonical_llm_matrix_v2,homecredit__catboost__stable_core_llm_fill_vs_mrmr,homecredit,catboost,stable_core_llm_fill,mrmr,DEV fold AUC,5 registered temporal folds; overlapping training windows,-0.003798065573559,,,0.0625,0.75,False,mRMR higher,completed,,mRMR had higher AUC in 5 folds (0 ties); fold consistency was strong. The exact two-sided p-value was 0.0625; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,D:\python projects\Research_pre_cleanup_backup_20260704\results\finalized_research\final_report_inputs\evidence\significance_results.csv,056fa955b95d74b8ccaf3520ac2ea36ef48b80431edfca1b10734be828e4961c
canonical_llm_matrix_v2,homecredit__catboost__llm_vs_mrmr,homecredit,catboost,llm,mrmr,DEV fold AUC,5 registered temporal folds; overlapping training windows,-0.0149572753887286,,,0.0625,0.75,False,mRMR higher,completed,,mRMR had higher AUC in 5 folds (0 ties); fold consistency was strong. The exact two-sided p-value was 0.0625; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,D:\python projects\Research_pre_cleanup_backup_20260704\results\finalized_research\final_report_inputs\evidence\significance_results.csv,056fa955b95d74b8ccaf3520ac2ea36ef48b80431edfca1b10734be828e4961c
canonical_llm_matrix_v2,homecredit__catboost__llm_then_mrmr_vs_mrmr,homecredit,catboost,llm_then_mrmr,mrmr,DEV fold AUC,5 registered temporal folds; overlapping training windows,-0.0016819146196396,,,0.625,1,False,mRMR higher,completed,,mRMR had higher AUC in 3 folds (0 ties); fold consistency was weak. The exact two-sided p-value was 0.6250; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,D:\python projects\Research_pre_cleanup_backup_20260704\results\finalized_research\final_report_inputs\evidence\significance_results.csv,056fa955b95d74b8ccaf3520ac2ea36ef48b80431edfca1b10734be828e4961c
canonical_llm_matrix_v2,lendingclub_v2__lr__stable_core_llm_fill_vs_mrmr,lendingclub_v2,lr,stable_core_llm_fill,mrmr,DEV fold AUC,5 registered temporal folds; overlapping training windows,0.0002220402082564,,,1,1,False,pipeline_a higher,completed,,mRMR had higher AUC in 3 folds (0 ties); fold consistency was weak. The exact two-sided p-value was 1.0000; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,D:\python projects\Research_pre_cleanup_backup_20260704\results\finalized_research\final_report_inputs\evidence\significance_results.csv,056fa955b95d74b8ccaf3520ac2ea36ef48b80431edfca1b10734be828e4961c
canonical_llm_matrix_v2,lendingclub_v2__lr__llm_vs_mrmr,lendingclub_v2,lr,llm,mrmr,DEV fold AUC,5 registered temporal folds; overlapping training windows,0.0047750869621237,,,0.125,0.75,False,pipeline_a higher,completed,,pure LLM had higher AUC in 4 folds (0 ties); fold consistency was moderate. The exact two-sided p-value was 0.1250; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,D:\python projects\Research_pre_cleanup_backup_20260704\results\finalized_research\final_report_inputs\evidence\significance_results.csv,056fa955b95d74b8ccaf3520ac2ea36ef48b80431edfca1b10734be828e4961c
canonical_llm_matrix_v2,lendingclub_v2__lr__llm_then_mrmr_vs_mrmr,lendingclub_v2,lr,llm_then_mrmr,mrmr,DEV fold AUC,5 registered temporal folds; overlapping training windows,0.0015941263205143,,,0.0625,0.75,False,pipeline_a higher,completed,,LLM-then-mRMR had higher AUC in 5 folds (0 ties); fold consistency was strong. The exact two-sided p-value was 0.0625; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,D:\python projects\Research_pre_cleanup_backup_20260704\results\finalized_research\final_report_inputs\evidence\significance_results.csv,056fa955b95d74b8ccaf3520ac2ea36ef48b80431edfca1b10734be828e4961c
canonical_llm_matrix_v2,lendingclub_v2__catboost__stable_core_llm_fill_vs_mrmr,lendingclub_v2,catboost,stable_core_llm_fill,mrmr,DEV fold AUC,5 registered temporal folds; overlapping training windows,0.0018032662089072,,,0.0625,0.75,False,pipeline_a higher,completed,,Stable-core + LLM-fill had higher AUC in 5 folds (0 ties); fold consistency was strong. The exact two-sided p-value was 0.0625; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,D:\python projects\Research_pre_cleanup_backup_20260704\results\finalized_research\final_report_inputs\evidence\significance_results.csv,056fa955b95d74b8ccaf3520ac2ea36ef48b80431edfca1b10734be828e4961c
